-220033	-9584.08	234.774	-35795.8	-702.661	
-701576	31683.9	30550.9	-324681	32008.4	
-263038	567.703	1405.28	31997.6	9168.04	
624222	43609.6	-122662	-163951	6308.23	
1.76777e+06	45377.1	54639.3	-161486	-8575.68	
1.87246e+06	57131.1	25640	24133	-7929.78	
1.4622e+06	60964.6	-23432.8	190895	16266	
-270001	146778	127671	-217138	147040	
1.55173e+06	10877.5	-184456	-108784	4777.71	
1.31442e+06	24460.2	-40002.8	-143730	-33771.2	
-784266	57393.4	80872.7	-452648	-41115.8	
-60150.5	4937.11	-4779.54	-62078.1	7625.9	
-4.60535e+06	34316.6	-64297.1	20796.4	21128.7	
818854	-83517.3	27252.8	146445	-27768.3	
-646537	43031.6	-15937.8	3475.69	11808.4	
76720.8	3743.82	-20652.5	-7564.21	-9283.91	
-1.4928e+06	6839.79	-322594	139041	17346.3	
-176693	-927.537	-1946.91	-14190.5	-5627.27	
262101	-31433.4	-34077.7	32922.9	61782.6	
-4.67212e+06	106023	198492	-23378.8	4779.01	
1.78957e+06	-32572	30672.7	-187714	-22997.8	
-2.65737e+06	71059.6	150968	-325673	13152.1	
295292	-33060	25380.5	9807.77	1084.4	
738856	24087	23962.9	-111763	-52868.9	
-159008	-9905.75	32563.7	227547	17216.7	
-190073	-12596.5	-5259.43	-36985	-5204.38	
597483	-8942.95	23852.7	-37041.1	3150.31	
-1.40746e+06	6449.61	41690	175925	107436	
-776727	-38504.8	70465.1	313274	53322.7	
117295	-7184.02	-21578.4	35835.5	-1428.09	
-1.47096e+06	-24299.2	-24573	679.406	-5233.39	
-998068	-99740.4	-40270.9	53252.2	92009.5	
1.30067e+06	48143.9	107534	39831.2	155841	
1.83501e+06	6634.49	23400.1	-63083.9	-9379.08	
-1.18718e+06	124834	158059	-166067	-32410.1	
-534057	-5007.85	108312	-3174.13	29493.1	
281042	-33768.2	62109.6	70486.5	38806.2	
-1.21256e+06	-37366	-60299.9	-249675	65147.4	
142465	-33694.1	-48153.3	-110028	-15185.7	
259745	-80017	75838.3	-184127	-72333.6	
-2.08371e+06	2214.2	-121625	133230	-54152	
-369651	76904.1	-99625.7	-123713	-23116	
1.0574e+06	33635.1	13937.6	-401489	105719	
-2.19083e+06	44612.3	-14952.4	126194	-10078.9	
-1.30218e+06	-13468.7	-109554	-171974	49225.5	
-841153	-106416	5645.75	1722.96	-50890.7	
-1.51494e+06	57266.6	-32149	164471	66717.7	
-2.22998e+06	44323.8	-225973	-162505	-19060.6	
-520779	12627.4	96364.3	34914.4	-10187.6	
-902914	53550.9	-169663	281265	-6240.18	
-1.51005e+06	203034	-218707	329349	-65198	
24810.3	118776	-126398	246245	26625.1	
307003	-89442.5	47547.3	-129068	-74635.5	
2.70087e+06	41244	-34814.4	-53907.8	3577.45	
-1.91862e+06	17544.3	-44716.4	82477.9	-13829.4	
1.83282e+06	-21882.4	-79694.5	140896	8520.39	
-107081	-32773.4	20427.5	12501.6	-16358.2	
-728855	48353.1	-33199.3	-168860	-40438.1	
1.95699e+06	-3743.33	-5841.29	-256357	5073.51	
687049	39409.4	-69444.2	29274.4	-24592.3	
-61898.2	45899.8	4624.93	185631	-51416.1	
1.16901e+06	24604.7	-108424	-16334.1	36908.7	
1.10494e+06	30917	10101.1	177587	-19965.8	
-42526.3	-22348.9	107439	142881	17989.7	
2.4446e+06	-26495.4	6977.93	13999.7	383.824	
1.90045e+06	-4198.61	-89645.5	-123240	-14201	
813073	-70945.5	-193591	-465246	77841.1	
-454538	-82765.4	1564.31	145724	21800.7	
430829	64025.5	48273.9	67348.8	-24266.7	
-2.43958e+06	-24330.5	-59082.4	267830	-9793.18	
558315	25220.7	126885	-333474	55105.4	
278424	-32356.1	-32219.6	-9385.25	39829.3	
1.15588e+06	-18163.6	-87235.8	105349	29307.4	
2.26964e+06	86841.9	-85492.5	-147526	39038	
-4578.92	-94311.2	45965.5	134413	47763.7	
700377	53291.5	70655.8	-340420	-9616.5	
701913	14186	-54994.3	217458	-68918.4	
-2.69375e+06	-60189	81791.1	107357	48074.7	
-592546	36015.2	125904	101064	-14852.2	
-686118	85042.7	-52096.9	-246406	8894.67	
-1.41939e+06	-73724.9	25339.7	-94110.6	-2785.78	
708331	-43564.5	-135671	-181100	-72497	
-591064	18126.7	35155.3	-83719.8	33228.4	
-2.22382e+06	66837.3	-37358.2	113979	61606.3	
-9658.68	-78312.6	141512	-54245.7	91325.8	
-537491	103408	-34182.4	-332119	-24705	
-1.08306e+06	2984.19	-45270.6	-91899.5	25819.1	
-717017	-11237.8	142189	-109096	37534.9	
-3.41495e+06	39422.2	-22134.5	-34758.5	8049.46	
-96237.3	-55246	-124360	242782	52428.5	
1.59194e+06	12812	68781.8	-165966	16034	
-1.01381e+06	22305.7	-1525.05	-95756.3	-3169.47	
1.32248e+06	51577.6	93179.4	699785	-8947.42	
740266	109087	6745.52	109922	-1383.79	
-801815	78221.3	-128665	437291	20482.5	
-2.18464e+06	17926.3	-64076.2	-7296.69	14192.4	
1.28306e+06	20910.2	-113764	302784	42137.7	
1.68947e+06	90774	84733.6	-100231	30313.5	
-762261	-16060.9	-137784	-115581	23271.2	
-831952	-7053.96	8110.78	120226	-813.663	
1.23741e+06	-33381.4	-87982.5	-10900.2	6360	
1.2507e+06	-88141.4	-109469	-362729	-74771.4	
1.06943e+06	-4246.97	-139271	172270	2863.94	
-1.83638e+06	13232.6	131417	232608	-22161.5	
-826071	12331.8	-53752.1	88368.7	-3290.12	
