1	0.0526436	0.000107962	0
2	0.0526405	0.000108014	3.05449e-06
3	0.0526338	0.000108126	8.4629e-06
4	0.0526223	0.000108318	6.79364e-06
5	0.0526317	0.000108161	1.14065e-05
6	0.052625	0.000108274	1.04831e-05
8	0.0526067	0.000109314	1.13891e-05
10	0.0526118	0.000108497	1.01202e-05
15	0.0525975	0.000108737	9.19858e-06
20	0.0525162	0.000110222	5.03641e-05
30	0.05232	0.000114475	0.000114818
75	0.0519596	0.000122742	0.000109911
50	0.0521737	0.000117948	0.000116549
100	0.0516894	0.000130493	0.000124322
150	0.0513224	0.000140807	0.000120504
300	0.0510702	0.000160581	0.000103532
