1	0.0534822	9.51576e-05	0
2	0.0534803	9.51838e-05	1.82317e-06
3	0.053486	9.51049e-05	9.43351e-06
4	0.0534793	9.51974e-05	4.39217e-06
5	0.0534995	9.49174e-05	1.04361e-05
6	0.0534964	9.49605e-05	1.06914e-05
8	0.053489	9.57033e-05	5.78502e-06
10	0.053508	9.47997e-05	9.8526e-06
15	0.0535129	9.47318e-05	9.23507e-06
20	0.0535057	9.4833e-05	1.10621e-05
30	0.05353	9.45025e-05	1.42478e-05
75	0.0536076	9.34812e-05	2.22597e-05
50	0.0535669	9.40154e-05	2.06174e-05
100	0.0536192	9.33707e-05	2.68512e-05
150	0.0537456	9.17122e-05	2.57819e-05
300	0.0539769	8.90762e-05	3.54117e-05
