94769.1	34443.8	56856.2	-164325	-37762.3	
64966.2	6637.88	13865.6	129128	-5422.82	
54688.3	23106.1	74226.1	-59235.7	-76476	
-68922.4	41108.2	-81717.2	135907	18841.2	
43805.8	4254.42	-196744	13236.7	-105566	
37862	26099.2	32061.2	-286845	-97660.4	
66585.6	40191.7	178533	-53575.9	188296	
-46704.9	19603.1	-14747.6	-80092.1	99528.9	
10315.3	2090.75	-146971	25547.6	-18098.1	
5466.23	-101440	15009.4	-7312.47	-16875.7	
118269	53962.2	-1985.03	125899	-116757	
41696.8	-43652.1	-104070	-29268.2	35878	
-19612.1	60865.3	3224.45	-116960	136070	
-44517.1	64766.5	133716	-286283	71898.5	
125711	58188.8	-3531.5	74699.8	-122964	
-57746.9	-135109	-75500.6	278874	696.814	
-2051.52	-46188	160900	-35010.1	-174345	
21605.1	25819.3	188330	184928	200677	
-68906.4	-66602.1	-144529	63316.4	-33688.7	
70405.8	-165731	-238974	-11640.3	223007	
51702.1	-68727.3	-68153.4	54157.2	14517.8	
98645.1	-42647.5	55107.4	60891	92666.2	
31970.9	118730	2161.25	136592	33405	
16068.4	-67544.1	40387.2	-242935	111458	
58041.6	26208.1	-59656.2	-91657.9	186717	
-29183.7	70026.4	85680.5	110670	-74513.2	
106716	-49472.3	49728.2	20392.7	61740.8	
-233799	-2766.68	290970	-19260.7	-29494.4	
23887.7	-14057	4380.11	53027.2	-42252.4	
-51776.3	109206	29358.3	-57729	67176.7	
143908	-37690.7	-28145.9	77661.6	57066.6	
14711.4	-53407.3	54522.8	110045	-62501.7	
105273	21083.3	209648	164705	-304831	
-84923.3	-30153.7	-227216	-309701	-126927	
-162615	-54950.6	-119125	59557.9	-25636.7	
-35953.8	56543.4	84673.4	-9692.88	147186	
-28910	-15394.7	-74970.3	82882.8	170135	
-42065.1	51497.6	15154.6	145020	-35966.5	
20053.8	41940.3	98193.2	565779	90292.4	
-17915	-23483.4	49860.3	1497.41	-9071.99	
98472	-3869.17	-93287.9	-70160.9	16882.8	
41554.1	2506.29	-44995.5	-87218	24446.1	
9315.59	-79406.1	34103	114694	-272165	
-50812.5	-105559	12010	113676	-124405	
-117661	-3328.78	15162.6	-9059.43	79988.6	
13992.9	-84520.6	120329	80166.3	169564	
31291.6	54661	42695	-70218.8	53037	
-176834	132296	364299	-349029	179517	
110740	68485.6	71399.3	-181156	-102178	
-3861.06	-98671.3	52451.3	-269962	-49166.1	
-12169.2	50623.8	-67826.2	53621.6	59222.4	
89246.9	-57786.5	70745.8	133332	169754	
-67242.9	20041.5	49128.9	-73355.9	-121995	
83561.7	-282562	-910962	359422	340453	
99355.4	64493.3	108367	-2285.43	15596.1	
-25187.4	26776.3	-103549	-209373	-97320.4	
166035	104841	8367.29	256923	-226484	
-36782.1	-6299.88	80431.3	16065.2	60009.1	
70199.4	-11403.6	126481	-33472.2	-130737	
-46141.2	42159.7	74388.8	55284.8	39462.7	
43491	71183.7	-97219.2	16169.4	28291.4	
5393.48	23479.1	-88667.5	-150500	-162632	
72021.4	-16850.9	-2244.24	97396.6	61173.4	
-28601.3	-101274	-25446	41843.8	127182	
79402.2	-41844.5	-54787.6	67782	-73953.1	
10937.7	-67788.9	-120907	266115	41747.6	
-86540.1	-13336	-20675.5	-198373	208394	
7965.74	-69473.1	-66862	-243806	115349	
76939.9	7954.96	-10970.4	-66315	106332	
-152353	68299.4	-69437.4	4510.29	56678.4	
37374	-48000	-11615.3	201833	33344.9	
41434.6	2746.78	-41083	-170115	-7618.37	
184318	-95362.5	-117618	223197	-152995	
-47599.6	-45861.8	56018.1	-261580	87823.6	
66721.1	-38047.8	-154542	244364	13054.9	
150485	-5573.32	-7121.31	-15391.3	175451	
-273157	-83515.7	31856.3	56608.9	-57458.4	
84563.2	-99839.6	-179789	75996.1	2370.36	
114593	-15214.5	-64328	-190761	-173537	
151541	42694.8	-83619.9	52706.9	-26196.6	
22024.1	-27250.8	-32865.4	51926.5	69711.2	
27568.9	15913	-36551.3	-39195.5	-95083.7	
89276.4	-19642.2	-42730.5	-332295	-62849.4	
-171885	-40517.6	-85940.1	-66180.7	99834.2	
88739.3	84671.7	104084	-96700.5	62029.6	
109161	28202.2	4099.26	150812	28188.9	
-144136	-37439.1	51137	-110856	-11862.4	
-103890	-26887.7	-155859	-195139	-177261	
12513	87752.4	13169.8	28600.9	191408	
7847.26	-21832.8	349770	205149	-207776	
-18745.4	-20274.8	178856	-5807.65	-7546.66	
-38508	115358	-25418.6	-327469	11328.8	
-48534.4	12131.5	187326	-32366	10613.6	
-73614.3	-69525.3	-67460.1	-81963.4	-37503.1	
