1	0.0536348	0.00199574	0
2	0.0550724	0.001413	0.000325195
3	0.0558987	0.00116452	0.000186869
4	0.056096	0.00112508	0.000317223
5	0.0567801	0.000966917	0.000264817
6	0.0565214	0.00102593	0.000272029
8	0.0571249	0.000930346	0.000437968
10	0.0573133	0.000889433	0.000351786
15	0.0580914	0.000757828	0.000295361
20	0.0582135	0.000755232	0.00031491
30	0.0590767	0.000638061	0.000251691
40	0.0594117	0.000594717	0.000222874
50	0.0599259	0.000534086	0.000165704
75	0.0608325	0.000466502	0.000180511
100	0.0610615	0.000452981	0.000163238
120	0.0615535	0.000422816	0.000168228
150	0.0622934	0.000372466	0.000138183
200	0.0628568	0.000346436	0.000135584
