-8700.75	-6492.78	-149706	133883	109827	
-62037.9	-29646.1	10599.3	73624.4	73581.1	
-29905.8	-413.381	121274	-8742.03	-69510	
-56274.2	44302.3	46834.8	-149952	-61470	
38329.9	-57681.7	128406	-118860	-145467	
4277.24	4724.73	-35209.9	8138.16	10675.5	
-7581.99	32286.3	-11989.4	45884.6	119114	
-112627	37642	-51884	143872	47200.9	
-37816.9	-28597.4	-41088.5	-21322.1	88458.7	
37278.1	93884.8	-76413.8	38759.4	-32120.8	
47050.5	48584.7	64938.7	-35019.1	-59975.4	
52045.3	-35163.7	43552	-108607	-12948.4	
39753.6	60569.7	-93309.4	93498.2	8032.79	
-1080.96	24287.2	-95345.8	209613	37171.8	
-3092.49	18690.6	-105771	47913.6	-45462.2	
-100955	23092.4	-81570	24748	-252384	
-82279.1	19381.8	-38108.1	32798.9	14808.3	
-155976	30690.2	-28241.7	-239896	-86584.6	
-111666	37945.1	-41399.4	-2932.29	13525.9	
6184.47	157037	308835	-93553.6	256799	
148329	85231	-200529	-118063	17750.3	
87201.6	-30556.3	430440	74998.5	116329	
12039.9	-48589.5	-153353	139091	-39222.4	
36737.2	-9634.66	158291	-18993.9	-13455.6	
53441.5	-9181.79	-33208.8	136722	-126010	
-52016.3	-67372.5	-74525.9	68213.3	95558.4	
-26352.2	3524.44	185510	-160959	46555	
-128644	-76203.9	-236829	-9385.35	-392965	
17859.1	56180.1	-1158.15	62540.3	-157320	
-142295	73328.4	-33144.1	-50874.2	-49452	
32772.8	-35118.6	41425.6	-65614.5	-84681.2	
50476.4	-3853.22	113747	53424.9	132783	
94090.9	-158132	185954	-285411	281287	
75555	-86194.3	120220	2377.9	104866	
55784	59820.2	191392	-81677.6	-18391.2	
-17024.7	73651.4	115372	-178789	130809	
-166246	-16876.6	75633.4	69797.2	21181.8	
-56808.8	-87223.7	-164067	-143977	-234944	
57912.2	-11699.8	-407635	-447816	-9964.72	
-49634	-491.727	88222.4	84605.3	-27809.9	
119854	-115010	48414.1	65355.8	-74709.8	
41759.7	28751	-79947.6	-32916.8	40244.4	
-24361.1	134324	29494.8	-77346.4	-25318.2	
46808.8	-10438.6	70762.4	-66811.8	10558.3	
-87970.1	-161586	-175260	33913.8	-109928	
-73827.4	-46797	-37063.8	8856.18	-140908	
16521.2	-57853	-157785	81898.5	34537.9	
-41334.4	-56046.8	141649	-360632	-22181.3	
-108624	-4790.74	-149270	47147.9	19501.5	
48257.6	-115010	129180	-151101	-9804.88	
28296.7	43619	101123	77825	12967.4	
-74475.3	76601.1	159827	373663	-240995	
-51877	68663	-71544.7	73893.1	29081.3	
9579.7	-494148	-7.17856e+06	250943	-126869	
25368.7	73465.2	86522.1	-332879	-40093.3	
106096	-78304.7	-21418.3	-25840	-38202.6	
-31331.4	-55795.9	-152588	15244.1	-81058.7	
-53689.7	-65248.9	117919	-18342.6	-109451	
6109.31	-62892.8	61851.6	-158162	-84038.9	
71459.2	-39587	101729	60798.7	125485	
-19740.6	94205.8	-123854	248000	-72311.2	
43290.7	-48110.8	88724.4	-53684.5	-44729.5	
-89624.6	34236.1	-4905.19	14558.8	142917	
34523	-56305.6	-20916.1	-77340	-720.464	
158718	-37625	62470.6	-8977.81	63320.7	
-903.338	-71934.6	-30804.1	-67723.1	23070	
39738	44734.5	-90337	-279230	-64390.9	
-47315.7	-1641.94	20052.9	-321860	-31459.4	
9963.61	-39423.1	-94558.1	-173808	74403.1	
-29509.3	-12293.6	156575	22830.8	-116914	
51963	-112191	60538.4	-143340	-157069	
-12972.4	-6295.28	-40258.3	27560	132051	
-112791	17395.9	-84042.8	-25862.3	-8924.93	
-175016	-106400	-124048	-203508	-261522	
61712.1	-56083.3	-31419.9	43643.9	128688	
20873.3	-56532.6	233490	-197525	-149217	
-30249.2	16173.1	44777.6	-60586.6	465936	
-11147.4	41042.8	98349	-39584.6	112988	
-91646.8	29018.6	-78658.4	59616.9	-15206.5	
76751.7	-58763.4	193302	-330780	123025	
-77124.9	22823.8	-60648.6	92031.1	7931.98	
-157728	3955.15	61508.2	42795	171537	
-25472.8	88216.3	189943	83376.5	168021	
-64741.4	-71972.2	60325.4	-93488.9	-140394	
-1406.33	5043.19	-71696.4	-214508	-30347.3	
50998	-114706	76782.5	-300775	1703.4	
17736.3	-60493.8	121066	-113410	62655.5	
-101044	22096.6	187673	-18269	68788.1	
-257371	-105896	100809	-72879.5	70967.3	
13444.6	-67970.8	-2659.95	193144	240614	
-43731.9	-11269.9	97133.5	-77425.6	-46759.9	
-12552	-36558	-181046	64214.7	48305.7	
51868.9	-17416	-21085	106670	81724.9	
100161	-76886.5	45147.4	116094	-125371	
78758.7	2096.96	-68684.3	34431.1	-139408	
79945.2	33135.4	-105120	115538	-89634.2	
-90858.3	26701.2	-128075	-91192.1	26127	
43115.6	-42015.8	-142500	-190584	-145332	
125456	-18393.7	67599.3	170965	-82532.8	
37831.1	14056.9	-173259	109249	6531.11	
-12493.8	1396.24	43475.1	309135	32270.8	
-23055.2	5626.71	-60444.9	-387118	53704.3	
170237	-37593.6	-10749	152914	-25878.8	
21967.3	-33341.9	24980	-12652.8	-87147.8	
56259.5	-372.592	-47373.5	-208542	-49981.9	
32626.4	65303.4	-139019	-286149	114232	
49454.5	58562.6	-147931	-141668	194094	
46990.4	-3894.96	-147862	-76157	-98388.5	
-29093	-16186.4	202942	98848.8	76743.9	
