69858.3	77204.6	80989.6	83969.1	79109.4	68354.1	77537.3	75688.1	
71381	76221.9	76513	73147.5	68533.9	71635.5	81367.5	77568.9	
61631.9	65149.5	73136.4	73526.7	65179.5	62827.7	73880.9	70200.8	
53812.3	53182.3	54770.8	55078.1	51589.7	44821.2	51111.3	51857.1	
59293	67688.5	69329.2	72323.9	72584.1	62512.6	67182.4	67030.8	
95730.8	108985	108205	109838	109196	111087	115439	100045	
98189.4	107717	116304	112708	98158.6	95380.3	116797	112285	
57645.3	61327	68506.1	66743.5	57160.7	51933.9	56986.2	58838	
56017.7	56879	58080.2	59540.2	55978.7	49299.9	61887.2	62681.3	
16397.1	15844.7	13486.1	13966.8	13096.3	12131.3	13419	14528.9	
124081	130905	140182	138963	132079	132028	139669	139528	
146035	167969	173501	174430	168650	157695	175524	169343	
190150	205222	212200	215302	208127	197679	213517	206169	
67224	74361	76459	75318.6	69614.8	61615.6	68639.2	70689.1	
105861	123650	129398	125594	117338	117520	127157	115871	
113791	127566	130623	121584	112653	109961	125342	121473	
3786.77	4879.8	4808.27	3840.48	3824.79	4344.39	4844.36	3440.44	
3589.45	3973.1	4111.28	4255.22	3704.14	2020.72	2233.83	3353.11	
93763.4	101739	109127	104750	94364.4	95426.2	102955	96220.9	
72986.3	76548	74565.8	74275.7	72293.9	68487.5	76641.6	75462.2	
103391	107812	111915	110979	111210	105611	108521	110656	
136553	145014	149446	143815	134137	131146	145328	138589	
170484	190169	198602	185647	168267	158556	189404	187922	
119278	131199	122899	123887	126948	122432	133407	124156	
3187.22	3353.51	3370.67	3597.83	3822.16	5067.97	4863.93	4139.79	
2213.8	3854.22	5479.89	6012	5385.02	4590.59	4786.65	3490.64	
2782.28	2349.02	2336.29	1747.35	1080.72	1967.19	2308.63	2400.84	
3231.73	3347.82	3186.28	3429.1	3736.91	2294.28	2513.61	2460.41	
112465	118046	127216	131001	113080	105660	124268	124646	
2942.65	2869.75	2675.41	3156.92	2083.3	1483.84	1744.33	2208.78	
178804	188983	202108	204922	188986	176182	199475	198792	
136719	146174	155374	157564	140609	133611	150078	144457	
105739	113161	115360	116709	105522	96296.3	108580	106026	
131040	150492	151953	145101	134191	136357	151363	139186	
101395	114423	121332	121548	108605	101261	118688	110056	
72804.2	82862.8	81792.4	73006.4	65345.6	67359.3	72825.4	71785.6	
84623	88463.1	90779.3	95825.7	93553	92472.4	102356	94956.7	
82065.3	85068.1	86206.5	86436.4	80136.1	80393.5	91210	85982.4	
102976	114698	124323	124410	114212	115033	124001	119396	
67605.3	78525.9	83592.7	78925.7	72079.5	75756.7	81991.2	76837.8	
80090.8	87166.2	90973	88376.4	86348.4	86799.1	96903.6	90556.1	
65983.9	73116.2	71386.6	71482.9	67501.5	62506.9	68903.6	70208.3	
79494.8	83016.5	91825.6	91184.7	85421.7	89441.4	93506.1	88202.9	
99349	105828	109263	118296	108356	100529	110096	104493	
134174	150613	165476	158399	141869	134975	154953	147398	
81267.9	85468.5	89732.2	98538	88759.6	75267.9	94564.9	92860.9	
95781.9	105558	109248	114542	108111	96279.2	108916	103613	
94042.7	99382.4	103344	107158	97048	89596.4	103698	100936	
123985	140030	148940	146002	132734	126410	138732	132272	
151170	163129	170461	168829	158025	141266	157004	160190	
82409.6	77099.2	73578.6	79236.7	73769.4	73479.6	81406.4	79130.1	
105192	105826	107269	105904	95082.3	100731	116089	113572	
93500.5	95749.6	111389	111696	100056	96471	115819	110905	
95407.9	107505	112040	114141	105682	98520.3	103003	98446.4	
120995	129513	131114	125901	115775	115370	131031	125532	
147896	152483	151604	147844	138841	130376	148103	155057	
96801.6	108620	116726	113318	99053.2	98828.3	111835	109505	
252198	275138	284687	277915	257799	247484	281580	266642	
91601.8	92295.6	92934	94143.9	86759.3	83230.4	91899.9	91516.3	
120045	131779	138667	141937	133033	120296	141471	135881	
58473.8	63716.4	69157.9	68722.3	59215.7	56367.2	66234.7	62553	
134170	143357	150028	150103	131970	125179	140542	136350	
174257	184429	189120	182839	164757	169055	186399	179676	
76965	86296.7	90058.9	91347.2	82849.3	79874.5	88644.3	84727.2	
240232	261427	278592	275223	239553	230254	274385	271116	
130483	138574	136836	131839	127155	118039	135359	138017	
59266.9	65210.7	63770.2	61820.1	59169.3	64459.5	73838	68180.8	
169059	176122	196071	196081	177533	166004	181715	181547	
167884	168696	177024	176213	166250	164280	188584	188613	
104548	112304	122634	133714	119638	99365.9	116963	118012	
127461	131745	129952	132591	127380	118797	130739	133258	
134726	137860	143438	150909	138458	131996	142014	141578	
228382	244226	250750	253096	242498	237647	261269	243704	
177082	193263	190469	187412	173581	163330	192821	194034	
123584	125401	124580	127805	113671	106637	120137	123088	
108445	120499	120699	119649	116322	108063	122121	113734	
120093	138985	143662	141204	125809	118126	138080	132435	
63788.6	64100.3	66552.4	66494.1	63767.8	60969.5	68842.6	66958.5	
136894	147179	146881	143576	133671	128619	142095	139648	
152009	164623	172947	186043	174597	163810	188874	177920	
156200	171032	186983	195488	179118	167262	184119	169399	
184465	192580	195259	196405	191222	172319	200215	204024	
108430	123783	130337	123956	112264	118523	131910	120570	
161340	182377	199110	193101	166542	157031	179515	172616	
158411	168488	172022	175316	161878	153863	178704	173292	
76152.1	72107.9	70863	73296.5	74664.5	75634.8	81784	79682	
59860	60530.3	62802.7	67738.8	63971.1	57121.5	62682.9	65732.7	
113897	119262	127333	125582	111053	109438	132746	131843	
12097.8	10596.8	10043.1	10486.3	9100.84	9457.12	10840.2	11353.2	
176887	193794	202925	197779	179457	176384	196783	185597	
143551	145312	144918	146937	139817	131479	145263	150182	
149690	165131	169725	166435	150813	140972	162107	159727	
150211	163540	167471	163048	158362	152689	163338	159611	
109261	116614	126464	127957	118121	113734	127232	128057	
179167	193795	196785	195256	180880	165460	188776	182691	
147163	155057	169559	180336	161023	138577	167285	160975	
69023.1	76066.5	76132.4	74487.1	72617	73719.9	86343.4	81206.5	
112223	123197	129445	125851	109577	98476.8	106471	107567	
2261.13	1653.33	1819.62	2243.85	1660.47	975.216	1409.08	1804.53	
64512.8	75703.7	76974.1	79877.2	78026.9	70531	75324.3	70513.3	
107664	119394	123389	115948	98979.3	102328	120748	114308	
119699	130740	142498	138066	123383	123152	145692	136527	
123238	135476	137721	132674	124337	127088	142242	132043	
94873.1	103043	102621	104337	99194.1	98557.4	111468	105852	
76005.1	80940.6	83296.3	78731.6	66977.6	60852	78787.2	80303.9	
164230	184738	192298	192732	177439	178554	203309	185087	
128310	138308	147729	149266	138413	135713	154600	146913	
77180.2	79452	77254.7	83248.8	78624	76279.2	86412.5	83585.7	
54899.5	64040.6	67915.2	67091.1	64471.3	57745.3	62752.5	56391.4	
75319.3	80323.3	83323.4	89274.2	86361.4	76242.4	87441.7	87143.3	
110419	118536	116808	116510	107261	98331.6	112868	114152	
65687.2	67512.5	73231.6	77809.1	65321.9	62451.1	71327.5	68670.2	
83999.2	89407	96756.3	95251.2	87743	84378.7	92165	89727.7	
73099	81201.8	81841.9	79558.3	71460.8	68901	76074.5	73009	
121603	139315	144627	140731	126036	127166	140479	131332	
84374.6	94945.7	105516	104799	98023.9	80280.3	88462.6	92291.1	
123216	133772	140138	147267	133469	112453	130380	132158	
137328	138591	139914	144505	140007	128194	139878	146189	
3182.03	2860.73	2760.52	2373.07	1742.41	2009.2	2148.4	2564.89	
3456.5	2123.07	1385.63	1942.31	2365.79	2670.65	3131.08	2754.14	
108899	114207	113084	109424	103129	101719	111647	109771	
73538.9	78559.3	80696.1	83017.5	76935.5	68523.6	79044.3	80938.4	
157979	166161	177587	181516	159755	151990	177803	179012	
1142.25	2821.35	3505.87	4210.98	3236.62	2383.3	3233.87	2413.5	
2092.05	2568.64	1610.28	1075.66	1273.26	967.176	2007.92	1955.55	
147747	161444	169470	164453	151253	143527	160352	156952	
126012	145065	151302	149435	137388	132021	146545	132158	
148337	159865	160663	158518	148107	141318	158208	152908	
148914	146465	152759	152266	136185	134442	159943	158730	
129301	138264	138470	136009	132986	135506	149249	138097	
150967	156335	167511	159590	140532	136343	163450	165913	
67884.4	78266.2	84288.1	82798.6	78553	74318.2	86552.1	77403.2	
120545	122143	118011	116811	113677	106187	113334	117341	
94744.6	97734.2	96217.7	100358	96672	90165.1	105599	104347	
74272.5	88354.4	100744	99534.3	88912.6	76637.7	84475.8	82982.9	
77698.5	84732	88902.1	93960.1	89602.2	85431.6	96396.7	88175.7	
146753	167537	165887	165076	153215	145996	161761	159191	
72860.1	80048.7	81910.3	78754.4	71487.8	68906.4	81247.7	81862.6	
98206.7	106005	113564	111304	99133.8	92172.2	100150	100998	
165398	175705	183589	185949	175129	163390	171544	169930	
128261	135567	141438	144428	130208	132533	155255	143404	
79705.5	85223.3	89745.5	95887.9	87275.9	89195.5	95750	82461.4	
90363.5	97374.3	99718.7	104025	102997	94555.1	104357	97632.9	
146500	158495	158541	156434	144153	131985	148415	151516	
2517.12	3002.96	3521.19	3172.34	1904.64	293.503	2157.99	3434.46	
149938	164307	173011	181181	171346	161552	168055	158247	
97311.8	112556	115355	113955	110356	104065	112587	108425	
133500	150220	161157	161930	145731	131488	149132	144546	
121956	133607	137274	138024	127433	124819	133476	123670	
179505	189739	189584	183622	175764	168714	183970	182798	
94424.1	99020.9	108683	108152	103079	95716.7	102380	98324	
88241.3	89842.2	95023.4	93496.5	87457.9	91323.5	99223.5	98741.4	
122570	136167	145021	140605	131333	126448	135220	135048	
135876	143496	152093	156936	143667	136517	153973	150205	
105569	109573	112343	109607	111578	103957	103382	104796	
90285.7	94270.6	97758.2	97166.5	91295.5	87097.9	94424	95273.3	
92759.6	102160	102693	98889.8	91955.8	86616.2	96325.4	96303	
138727	159083	168049	161091	161120	163189	172638	157748	
144649	158790	158897	145552	127203	128108	152027	153969	
81776.6	91220	97664.7	100959	100807	93515.6	95409.6	90486.6	
69106.7	68934.2	73696	78336.4	71779	65526.6	76324.1	77136.2	
167548	172415	180011	183819	171443	168276	190178	182451	
107492	107285	113120	111842	106780	108212	122034	119398	
74783.2	85103.8	85342.8	92975.2	91780.9	84979.1	85727.9	81675.6	
53068.1	52873.7	58594.1	61448.7	53824	50617.6	57985.3	58603.6	
173847	189717	202111	196485	178185	175341	193385	182015	
204540	218749	227865	230418	211818	190846	222389	220840	
116431	125977	124537	119402	111433	97047.7	117457	125834	
84566	88345.9	94104.6	94014.3	80722.6	71114.7	84246.1	88861.3	
97441.1	108713	114447	112779	102361	95227.3	112740	112944	
115687	115009	121512	124199	110243	97657.1	118132	122396	
150662	165708	171639	174141	168532	156259	167908	164624	
97441.8	114938	124037	122319	105047	101362	118731	109646	
10182.6	14027.7	13485.2	11873.5	12613	12050.5	12131.4	11686.7	
155132	164980	164841	162034	159735	160951	169361	162878	
109444	117690	125747	123244	112442	119736	136968	124681	
112275	114214	119259	120011	112589	99332.6	115938	117101	
75835.2	84366.4	87765.7	84682.9	77351.5	73380.4	84472.8	83051.4	
120161	134471	133425	133562	126152	118464	131416	125644	
63577.8	70944.6	74139.5	75515.4	68626.4	64069.7	75190.3	70108.9	
75629.5	87101.5	87092.6	83527.6	77412.3	73128.6	84254.3	85875.1	
12460.1	13696.2	13087.8	15007.3	14096.9	13542.6	13063.7	10889	
68639.2	80170	86928.1	85826.5	75689.9	67973.4	75632.1	70443.2	
76141.2	77612.7	80316.9	79550.2	64435.2	62376.3	77454.5	77051.4	
276690	290913	311881	315947	290290	284716	326674	311807	
62641.3	70082.6	72501	69876.9	67503.9	64591.6	70366.8	67365.8	
74798	81086.6	86676.6	83261	83279.7	81270.8	89555.4	83763.6	
87040.7	103010	105371	104940	101789	96626.6	106601	96139	
69974.2	70254.1	75512.9	77859.8	67639.5	69217.8	77729.2	76409.1	
68663	73151.7	73506.9	73289.6	64534	60705.6	72632.7	71262.5	
66497.4	71808.1	78630.1	81205.2	74011.1	70083.8	75945.1	73562.6	
72659.9	75838.1	80443.8	78577.1	77206.3	75311.7	84273.3	80148.1	
64978	67432.7	73477.1	69026.9	62673.2	67030.2	75652.3	71103	
59666.1	72668.7	81927.4	77019.4	71388.9	66943.4	71516.4	65799.7	
68044.2	79666.7	91359.3	92304.3	81513.6	77276	86486.8	78205.5	
146447	163594	175387	176701	153558	144259	164304	160997	
258998	290811	298645	292928	272872	258322	286055	264766	
101926	111438	123068	123632	116045	107056	114339	114648	
62120.6	67210	66270	64828.8	61572.2	62565.3	70041.1	67836.5	
83990.3	92615.4	103802	109346	102478	93414.5	104913	100184	
58612.5	64395.5	63080	60584.9	58233.5	59113.5	67655.3	65168.7	
60621.1	65062.9	66842.8	61581	57289.2	57156.5	62795.7	63663.1	
116210	127128	131338	134045	133481	128451	137384	127815	
253945	274405	282003	282491	258111	243386	280879	272316	
132466	131596	135002	140895	127398	122300	143083	142306	
152386	164472	165593	166431	155738	144641	165227	155059	
247932	264168	262497	260195	259067	250377	265807	259676	
139980	150512	160863	156497	139245	128851	151717	148076	
140467	159513	168965	163104	153904	143256	162659	152346	
130926	142285	155285	160459	155772	152042	157808	143555	
87224.8	101919	113936	111446	97590	91628.9	105476	99162.7	
244419	263771	269589	272584	259831	240136	259063	256516	
129877	139958	152361	155698	138223	126222	143322	141136	
110109	116598	124082	124137	112204	105311	112178	114595	
132391	153711	158853	151626	143336	131704	149442	148171	
123216	130566	132590	134801	132008	127750	135285	130207	
142152	160225	180471	173748	153947	148953	173194	167332	
121567	143788	158316	152391	136894	129604	142402	139710	
62590.3	67579.7	71388.2	71751.3	70097.3	65235	74936.7	72330.6	
225291	240550	253152	263561	234800	214494	248306	242641	
93967.6	96363.9	102728	110130	102856	91282.9	98995.5	99352.3	
51755	61658	65522.1	60915.6	58910.7	57785.3	62073.8	59184.2	
193692	204732	205844	198499	187642	195093	216132	203647	
136933	141224	150432	149469	139273	132145	143610	141535	
113350	126407	141840	146848	134730	132208	152671	142232	
125851	137007	138698	139268	132467	125038	135991	133761	
100509	118969	125774	115624	101437	94892.7	105464	96937.5	
143477	160525	165531	160983	157276	145759	155276	154383	
117495	124824	124547	121281	116748	115701	134389	130545	
165570	180291	182900	176360	164953	158792	170441	166906	
58138.2	61213.4	67142	64528	54212.9	49097.7	60936.1	62879.1	
55536.5	67332.8	71356.3	69543.9	66214.9	64936.5	72282.3	64017.5	
68996.3	76137.7	76730.5	78201.4	73435.6	66216.2	75085.4	76007.7	
123737	133597	142318	144287	139794	143152	149922	131770	
67707.9	78687.2	83599.5	79893.8	73752.2	68195.1	78537.1	78499.3	
108652	113635	118824	108035	101327	104189	112961	114389	
166819	185572	190911	186070	171871	167374	184064	176459	
58342.3	60230.3	61858.2	64236.7	62388	55142.2	60318.5	61879.3	
113396	119014	125442	118568	101794	104408	125385	123663	
204204	221497	231871	224858	206278	195241	226047	228911	
58645	64348.4	62229.7	65789.4	62238.7	57911.4	73915.2	69343.3	
101633	101876	104882	106391	96738.2	88876.8	96588.5	96984.2	
178609	191882	198134	201166	184253	180575	184517	176686	
84894.9	98237.9	112026	108968	101543	100291	105422	97007.9	
173879	179463	185708	189405	177642	165030	185713	184187	
91034.8	100415	101442	98206.2	90704	91268.5	98425.5	93597.3	
122935	130918	138595	140865	128628	125799	144204	141212	
76537.2	93410.1	95719.7	90946.3	79906.4	69325.4	79843.5	76704.3	
167090	170923	166643	172199	171313	162222	186137	179825	
115995	118409	117175	120488	119226	120646	131260	126020	
113586	127781	129520	126914	118485	113832	129564	123181	
158665	179005	185075	186161	168568	157319	179629	169921	
115100	120460	117468	114138	121352	126445	134225	126426	
261555	273840	284588	284898	274220	266643	295552	278939	
121678	139510	138660	131787	118226	114525	123370	120766	
80443	89484.9	91689.5	93526.1	86150.8	82000.2	88911.3	83223.5	
216792	247653	253570	243572	229673	215601	230821	226228	
147281	160803	166478	168754	151227	152777	177049	167347	
125138	141970	151515	149928	136075	123968	138533	136119	
62638.6	67952.9	70358.8	70075.8	66689.7	60578.1	67439.1	68468.8	
68151.9	74437.6	80547.3	77965.5	73655.8	71511.4	75456.8	74375.6	
124119	134674	153573	151813	140463	135136	146827	144729	
89055.7	97133.7	93548.5	88051.4	77992	81351	102195	101587	
129637	133448	139166	141741	134478	124964	139818	139522	
117738	128235	124250	126200	128577	124897	138245	130234	
68431.3	78707.4	85386.8	80155.7	72776.3	70322.6	83682.8	82233.6	
54699.4	69680.7	70706.3	64116.9	65115.7	70746.5	74019.6	62450.1	
0	0	0	0	0	0	0	0	
157118	163907	169657	162189	145187	140981	162701	164010	
71984.6	74527.8	73093.3	71699.6	69210.2	67965.8	81940.6	80062.2	
131269	140938	146858	155582	141484	126865	143092	141421	
242674	267484	276563	277542	261545	247629	276068	263472	
2736.02	5119.73	7231.58	6254.36	5044.04	5473.3	4887.15	3568.42	
78503.9	84587	85348.3	89391.8	84869	83210.4	95299.5	88463.1	
66953.5	74726.4	76686.7	77535	68402.9	65593.4	75456.3	67312.7	
247862	266132	268350	263360	247554	238245	269758	267185	
98571.1	107472	108083	105408	106126	105729	118622	108811	
122186	136987	144902	138799	128553	126568	143261	136320	
63843.8	68420.8	73601.8	72094.3	66236.3	62872.2	70200.6	67419.7	
113997	123916	133516	128064	116973	110642	122548	126162	
245606	263714	271362	268206	247026	235410	276786	271205	
122302	127870	124706	126269	111736	109263	123655	115906	
62815.1	65872.7	70228.3	75790.3	72793.2	64518.9	67572.1	65942.5	
118332	132547	141450	135511	116398	117957	141480	133765	
156438	172059	178659	180163	163887	158485	177646	168402	
220813	244685	257203	256829	236085	218224	249360	237149	
78807.9	82526.7	82440.3	83210.1	75490.5	66684	78128.9	79739.5	
159089	178279	189933	190459	175388	159723	179638	179677	
142851	160240	170015	163884	154883	161728	171655	157341	
137089	148730	155419	155829	147037	137447	145878	144144	
154167	163776	171107	163194	152437	156654	172147	170987	
79340	86765.1	89830.4	94269.8	90872.2	77326	86515.8	86392.4	
67698.1	72749.2	74826.7	72471.1	70129.8	67886.4	75587.2	72973.3	
143341	157051	160302	161246	158510	146739	158570	155641	
76252.6	78665.1	74863.3	79665.7	74265.5	68153.3	77289.5	80920.2	
107446	123406	132548	126377	115661	114915	128920	122107	
74150.8	83363.6	86385	83361.2	77162.9	77663.3	90331.4	83288.4	
70191.4	73676.9	77508.7	77179.8	72370.7	67072	78655.1	78713.7	
107933	118820	119992	117460	114065	113916	127293	115254	
131942	138038	146936	149848	136067	125217	139623	139877	
224179	250517	248365	237575	217132	205247	240360	232740	
65773.9	71631.8	77577.6	77695.1	71758	69598.4	80966.7	78295.8	
80939.9	87519	88747.3	85404.1	79222	80375.1	94720.8	89458.1	
80095.6	85221.2	87780	91446.6	82996	76931.3	90018.4	85160	
203522	216611	225835	225982	209751	207558	234044	227810	
174190	178734	176098	166882	156389	155283	186607	187151	
6851.62	8559.45	10995	11635.9	11298.6	9854.97	11839.8	10373.9	
74392.8	76293.2	84637.9	85648	82713.4	78563.9	80206.9	81436.5	
71832.5	76566.3	82456.8	86759.7	81442.3	72505.9	77283.2	73778	
71666.6	75464	79220.3	74680.4	66435.8	67305.8	72089.4	70316.2	
84054.3	86531.3	86707.9	85813.8	85763.6	84114.1	89934.6	91801.9	
150118	154412	154997	162023	152639	142916	159201	152492	
167709	181587	180984	163537	148990	151443	179586	181768	
77464.6	89426.6	93308.2	90320.1	81386.2	74535.4	84427.2	88350.9	
196669	223284	218725	213881	204738	201129	224409	208985	
71965.8	83091.6	93005.1	89943.7	79231.7	75107.5	80587.1	77148.4	
61956.5	67093.9	75706.2	75622.3	69004.5	63583.1	72090.2	71267.8	
156271	163772	173351	172748	153512	148699	162897	162492	
76803.4	84235.3	91844.5	93168.1	90106.6	91107.9	103578	91791.4	
121253	129627	143782	143401	127128	120116	141913	137611	
204949	231078	241109	228242	201075	203938	243226	231526	
117325	128533	133292	137291	130816	122532	135168	133060	
90434.4	102712	107660	110756	113288	100871	105908	99962.2	
104092	117311	117526	114680	109012	114294	124878	115402	
146532	149897	152196	158846	152650	135738	155644	162558	
91108	98500.7	98378.7	97767.9	87566	82309.8	100596	100709	
154969	164957	166524	160723	146554	143619	168378	164626	
100405	113275	112876	105929	101697	104006	117168	107978	
195395	220597	225048	227883	218849	211010	231299	216761	
107601	111908	116480	119272	113104	108015	117381	114360	
80804.9	88348.2	91049	87972.1	79334.7	83044.1	91195.6	84729.1	
72952.4	79306.7	79290.5	79620.7	77809.8	75330.2	81353.8	77991.2	
140807	150262	163792	161976	146656	139755	162790	163358	
180814	190345	200784	206036	195794	178084	196244	194239	
141755	163773	169908	158256	145063	147573	166308	150755	
277548	302637	300904	290652	265577	261018	301746	292765	
85949.2	97258.7	102565	99656.8	95570.7	98493.6	105884	97130.3	
258039	285968	300029	294547	278576	270096	305338	284492	
137368	147727	149916	151283	140286	132932	150610	142593	
126547	127830	131647	135881	128043	125107	144268	139103	
154444	162611	167991	162289	147743	138036	164548	170884	
111286	117957	115177	106771	102954	107665	117272	112456	
58216.6	65479.2	73790.5	75791.8	72657	66005.6	74984.8	70603.6	
144595	153976	163038	165872	150811	143708	163312	159553	
117711	129268	137599	137832	125514	120556	139333	133223	
78878.8	82646.9	90060.4	85376	73056.8	73498.6	87067.3	84107.4	
98481.4	97702.7	112759	115520	108593	103098	113551	110506	
78465.9	78892.1	77949.6	80168.1	81816.9	79704.2	80907.9	83098.8	
149550	157509	157683	164949	158037	144441	160867	153301	
71258.4	81269.4	86292.5	86156.6	80790.6	68307.4	73534.1	72711.4	
94387.2	104334	111801	109845	102218	100232	108902	105642	
91541.6	95010.7	99584.4	100639	96096	94280.1	102068	99509.7	
61285.3	70764.9	75578.3	69464.3	58522.9	55114.1	61858.7	61944	
59522.4	63527.3	66000.1	70436.2	69317.3	69750.1	72345.8	67484.1	
50394.7	49356.4	55134.5	61794.1	54464.1	50041.8	52261.6	51500.1	
121718	129204	129128	127491	118137	114490	132893	128258	
100965	116019	119482	122217	116945	103690	110165	108268	
62403.3	69043.5	68541.5	64657.5	59370.9	62262.3	68231.5	67982.4	
146224	155946	158269	151279	140374	133890	152742	152946	
71046.5	77155	76002.4	76449	76359	69167.9	75567.7	76260.3	
83357.7	83828.1	85161.9	88920.9	87610.3	90622.6	100629	94340.3	
124909	138369	145071	151780	141664	139640	139681	131517	
70322.8	76093.3	78182.4	79887.4	76718.3	74943.6	86464.7	77253.9	
122714	132011	141784	144117	134800	122766	141277	137608	
108323	116428	125062	129756	115003	98989.5	118870	113230	
102064	108865	118253	119336	108392	108169	121906	116894	
192508	205167	210948	216025	201848	188357	214584	209489	
88890.9	98935.5	103291	105103	89782.4	82877.6	89712.9	89822.2	
105791	106694	111794	117244	108756	100230	112089	113546	
194705	210918	214051	213010	207067	210964	232436	222339	
12380.8	12202.6	11788	11212.4	11297.4	14190.1	15573.8	13597.1	
13784.2	15247.1	15955.8	16509.4	16826.9	17083.8	16129.8	13331.4	
14282.6	15760.9	15828.7	14249.9	13172.6	14696.7	16273.8	14267.3	
12231.9	15284	13421.8	9767.06	9040.5	10466.3	12320.1	11690.5	
78237.8	83786.7	88520.3	91122.3	82826.4	79584.1	85932.2	81738.5	
95117.9	109736	121732	117407	102509	100558	117443	104733	
132275	148256	155232	146920	138171	134408	148497	134778	
82660.6	90073.8	87409.7	80109	79544.8	86495.5	92733.8	88361	
7230.71	9219.23	8669.75	8822.98	9638.01	6345.4	6348.77	7577.38	
7804.43	7552.34	8242.55	7988.38	6582.61	6975.29	8061.21	7475.59	
6435.41	6446.25	6167.86	5893.43	6842.46	6120.52	8230.72	8255.41	
6590.11	7681.3	8223.87	7137.12	6187.35	6224.31	6409.96	6543.4	
7182.58	8112.88	7521.29	8919.59	5917.78	4271.18	5046.73	5038.17	
5365.25	6012.67	6936.67	6784.65	6395.63	6486.55	7591.41	6514.01	
106418	111887	110497	111805	110320	113288	125198	115668	
102700	108015	107316	101746	97287.7	95224	113531	110173	
96802	100219	109300	110189	92819.4	84999.7	96417.7	97698	
83048.7	88017.2	92510.7	93654.7	85813.7	86569.5	92455	88000.6	
117158	130519	135693	133793	117985	108356	128020	126056	
6493.39	7873.64	8423.28	7969.95	5689.64	6620.6	6036.36	5717.11	
6006.92	6032.75	5786.37	6430.19	5981.97	5255.4	5554.64	5614.33	
4118.58	4127.47	4940.56	4094.85	3803.17	4217.7	3445.46	3722	
74885.8	81425.4	84208.4	81422.3	75949.9	77494.2	87256.6	86785.3	
153345	164974	171573	169603	155360	154112	171809	166095	
95785.7	111669	117718	117068	109238	104908	116280	106142	
104525	136186	153201	140582	124719	121272	127236	116705	
108525	120958	120318	112471	109438	108985	118660	113276	
100526	111785	115607	112893	104959	99762.4	111873	109816	
68016.3	68909.8	75879.7	82711.9	77335.2	71995.2	81505.3	80898.7	
71993.9	77395.2	80884.7	83586.4	82310	75523.6	80508.3	77716.8	
73387	86024.5	89534.5	87039.1	82133	81127.6	81933.1	76773.8	
106012	110270	106579	109432	109718	109238	118148	113596	
126572	136356	141870	136443	129593	125387	137418	138583	
111809	123006	137700	138860	120816	104028	120734	125456	
86607.7	100767	101333	99070.2	85866.4	75530.7	94005.8	93883	
92503.1	97533.1	100772	97916.1	87038.8	86744.1	103741	103263	
103588	119903	129176	128020	120130	116155	126064	112074	
85565	91857.9	90288.5	89219.4	78381.4	72026.4	82752.9	86222.3	
77578.7	83873	83469.4	83634.4	74705.9	72793.8	81886.6	77780.5	
67401.4	73430.3	73346.4	71601.9	60479.8	63990	76797.1	71323.6	
113031	122173	115099	114689	115889	111878	129840	122375	
77459.4	80003.7	81904.3	81833.9	76708.8	74072.3	85891.7	83464.5	
174219	186990	186586	187503	172518	165461	191410	189334	
114032	129733	139794	137625	121966	123741	143794	133621	
89743.2	89837.9	90904.2	93084.4	88745.3	86803.8	93981.1	92579.2	
116964	133702	139263	138662	118901	116164	139793	127527	
69897.1	74841.5	74379.1	79005.7	77092.4	75571.3	86251.5	83977.7	
199407	213327	210794	213071	200158	194862	212577	203366	
78199.5	88507.3	94851.8	99439.6	93037.1	84492.8	90068.1	82217.1	
76360.5	88496.8	94502.7	93420.8	90033.2	87532.1	94636.4	89587.1	
77640.1	80680.7	87402.5	87122.7	82491.4	84604.7	90191.9	84241	
106193	116779	126584	127714	120312	120096	123224	113430	
72111.1	82979.9	77942.4	79759.1	78183.4	75036.5	85299.3	76993.3	
64984	70851.2	75914.8	76198.6	64337.3	62980.6	74228.2	73357.9	
100689	107117	115619	114795	111948	111075	123108	111548	
104523	113889	120220	120618	104930	97298.9	115075	111929	
77954	91627.3	94144.1	93164.8	84892.9	77449.6	85876	78854.3	
78125.2	82666.6	86771.6	92508.8	86758.8	76710	87835.5	86094	
22195.7	23112.3	21816.5	22291	21069	19916.1	20899	21458.4	
95261.4	106568	106909	104916	104973	98527.7	116453	105608	
156730	173169	187227	187012	175755	173132	182272	171042	
147035	160862	178703	178727	160243	139589	163437	166183	
88860.2	95169	96639.3	97212.1	91166.7	89225.4	97780.5	98580.2	
88115.5	91990	93592.5	86837.7	80767.8	86461.2	97438.4	92773.7	
82923.1	93293	96817.9	87712.3	77589.4	75013.8	86173.4	84928.3	
76819.6	80370.8	84305.8	81672.2	74870.1	75019.4	81505.4	82419.5	
70516.7	75720.7	78765.9	74715.1	67563.2	67942.2	78817.1	75795.4	
