301	91868	81331
281	86104	76166
228	69531	61715
645	197471	174892
648	197785	175450
367	112214	99492
433	132264	116989
447	136836	121220
290	88549	78485
440	134258	118992
658	201863	178531
3	879	789
465	141619	125566
720	220105	194561
299	91206	80739
598	182811	162064
4	1246	1118
406	123662	109573
282	86279	76265
384	117575	103986
358	108899	96424
393	120086	106502
262	79623	70757
562	171757	152335
223	67874	60236
402	122630	108553
346	105516	93501
463	141674	125527
315	95713	84810
363	110472	97952
267	81532	72144
703	214103	189751
330	100761	89190
280	85585	75709
452	138003	122324
219	67027	59412
340	103731	91899
404	123435	109330
7	2151	1904
588	179850	159380
404	123171	109173
283	86205	76641
269	81855	72561
407	123891	109665
439	134079	118631
250	76161	67522
497	151605	134198
0	0	0
454	138161	122475
272	83315	73772
222	67875	60125
645	197444	174639
401	122648	108335
260	79147	70320
575	175488	155527
640	196024	173693
549	167453	148296
620	189666	168061
593	181208	160710
393	119898	105997
256	78190	69398
401	122602	108388
220	67365	59677
335	102714	90875
488	148969	132012
404	123190	109145
3	910	789
545	166669	147732
213	65134	57664
248	75810	67133
767	234089	207397
638	194531	172297
266	81328	71994
100	30394	26961
250	76528	67740
394	120868	106906
370	113547	100608
519	158447	140422
259	78916	69953
303	92722	82016
501	153132	135570
488	148544	131726
144	44070	38923
321	97999	86881
395	120633	106647
314	95805	85006
397	121281	107462
488	149195	132148
820	250547	221789
279	85642	75722
513	157538	139333
223	68151	60327
472	144584	127968
556	169321	150168
565	172647	152979
318	97008	85984
465	141877	125649
338	103278	91446
301	91874	81371
522	159414	141297
551	168733	149279
491	149980	132817
283	86139	76309
693	211071	187230
415	126598	112340
492	150223	133140
393	120234	106468
292	89145	79120
1	299	267
352	107308	95076
192	58173	51583
456	138729	122943
443	135176	119719
370	113010	100278
395	120439	106914
360	110023	97368
474	144584	128193
367	111693	98899
552	168884	149460
637	194182	172072
345	105010	93061
355	108612	96140
278	84773	75093
226	68954	61194
301	91843	81230
439	134091	118775
447	136658	121001
533	162976	144408
2	618	549
255	77798	68899
185	56564	50063
759	232280	205648
354	108169	95898
346	106026	93978
633	193373	171167
433	132081	117010
255	77869	69044
186	56779	50322
321	97720	86659
476	146047	128978
454	138717	122952
484	148215	130963
273	83305	73850
437	133900	118603
507	154308	136838
2	644	568
332	101372	89719
659	200881	178073
299	91614	81030
312	95351	84588
375	114806	101571
239	72883	64607
322	98230	87013
530	161901	143200
300	91393	80901
349	106527	94185
624	190539	168745
424	129542	114579
450	137237	121633
662	202370	179238
223	67874	60236
562	171757	152335
154	47142	41740
466	142182	126023
203	62088	54942
314	95880	84922
190	57950	51390
390	119109	105218
307	93685	82926
414	126366	111966
174	53243	47061
648	198234	175495
326	99608	88302
358	108899	96424
14	4313	3827
23	7083	6275
418	127739	113319
4	1246	1118
432	131975	116764
12	3571	3181
319	97301	86152
295	89839	79716
556	170230	150756
761	231878	205542
338	103118	91486
721	220083	194783
421	128811	113995
498	151814	134656
327	99354	88129
380	115847	102391
518	158357	140082
330	101019	89362
491	149904	132690
486	148165	131174
251	76747	67968
359	110236	97479
388	118035	104672
323	98368	87270
179	54441	48349
526	160612	142365
545	166884	147858
357	108921	96464
184	56158	49693
386	117979	104472
303	92535	82040
222	67875	60125
272	83315	73772
700	213540	189059
418	127602	113096
282	86279	76265
674	205244	182095
20	6165	5481
265	80875	71735
482	147052	130566
430	131425	116460
359	109432	96945
321	97999	86881
367	112485	99621
571	174894	154868
439	133917	118683
3	910	789
573	175050	154998
365	111338	98820
384	117575	103986
12	3697	3270
377	114938	101866
453	138676	122646
254	77574	68761
335	102230	90345
486	148276	131389
364	111361	98710
472	143797	127570
487	148705	131859
694	212195	188016
182	55448	49031
299	91376	81055
426	130501	115600
463	141674	125527
250	76161	67522
20	6104	5413
159	48578	43038
213	65134	57664
545	166669	147732
393	120086	106502
419	127908	113307
1	299	267
329	100599	88970
524	159750	141685
378	115481	102276
307	93507	82922
374	113855	100964
474	144798	128193
501	153132	135570
452	137270	122000
295	90318	80033
395	120998	107099
462	141234	124978
2	644	568
438	133619	118337
262	79623	70757
757	230947	204778
412	125988	111514
299	91308	81025
617	188411	166922
202	61585	54533
510	156092	137965
552	168884	149460
406	123662	109573
252	76989	68212
904	276814	244994
192	58173	51583
302	91979	81438
443	135176	119719
523	160261	141966
379	115929	102607
540	165048	146166
441	134583	119396
262	80130	70891
88	26586	23552
588	179094	158818
12	3571	3181
820	250547	221789
348	105954	93921
8	2398	2123
223	68151	60327
114	34679	30894
170	52002	46129
397	121281	107462
185	56604	50082
328	99998	88620
369	112607	99750
374	114795	101343
487	148936	131952
373	113775	100779
13	4004	3525
300	91601	81329
584	178964	158300
738	224993	199598
359	109458	97032
695	213010	188437
763	233421	206738
327	100641	89052
511	156126	138242
456	138729	122943
363	110472	97952
460	140931	124857
487	148888	131967
154	47142	41740
397	121402	107368
466	142182	126023
321	97720	86659
393	119898	105997
308	94265	83478
346	106026	93978
442	134702	119470
576	176044	155973
536	164359	145497
396	121031	107221
622	189842	168252
440	134258	118992
528	161443	142793
395	120633	106647
319	97506	86420
404	123190	109145
423	129135	114262
261	79704	70570
10	3071	2697
483	147585	130700
431	131340	116287
573	175050	154998
185	56564	50063
759	232280	205648
759	231428	204936
337	102874	91219
417	127539	113006
740	225926	200069
303	92583	81953
758	231711	205128
301	91674	81405
493	150718	133211
524	159750	141685
695	211636	187861
393	120357	106623
659	200881	178073
303	92311	81806
204	61982	54987
688	210026	186330
316	96501	85342
418	127602	113096
184	56158	49693
292	89313	78943
224	68453	60740
483	147398	130692
620	189485	167843
470	143032	126866
335	102078	90498
552	168250	149211
159	48578	43038
283	86395	76627
299	91614	81030
419	127908	113307
574	175669	155545
6	1814	1619
186	56779	50322
448	136974	121275
340	103731	91899
340	103385	91716
507	155008	137166
286	87408	77415
476	146047	128978
