0.3-0.5	0.0459516	0.000323504
0.5-1	0.0854815	0.000266549
1-1.5	0.130641	0.000457859
1.5-2	0.154814	0.000774328
2-2.5	0.165603	0.00127125
2.5-3	0.168035	0.00201602
3-4	0.156428	0.00254804
4-5	0.132091	0.00514776
5-6	0.121042	0.00902287
0.3-0.5	0.0455942	0.000425231
0.5-1	0.0848392	0.000351834
1-1.5	0.129283	0.000606104
1.5-2	0.153658	0.00102729
2-2.5	0.165424	0.00168602
2.5-3	0.15931	0.00267665
3-4	0.145052	0.00337003
4-5	0.134581	0.00680735
5-6	0.118952	0.0118647
0.3-0.5	0.0454025	0.000453564
0.5-1	0.0841875	0.000376426
1-1.5	0.128718	0.000650189
1.5-2	0.151819	0.0011024
2-2.5	0.164457	0.00180958
2.5-3	0.160807	0.00286858
3-4	0.156195	0.00361404
4-5	0.128434	0.0072671
5-6	0.101377	0.0127261
0.3-0.5	0.0440078	0.000506294
0.5-1	0.0840834	0.000421672
1-1.5	0.126858	0.000730177
1.5-2	0.15048	0.00123981
2-2.5	0.154549	0.00203724
2.5-3	0.157063	0.00322434
3-4	0.143083	0.00404628
4-5	0.116573	0.00814379
5-6	0.0888458	0.0142104
0.3-0.5	0.0455678	0.000532877
0.5-1	0.0831782	0.000445384
1-1.5	0.125037	0.000773346
1.5-2	0.147627	0.0013151
2-2.5	0.154279	0.0021586
2.5-3	0.155037	0.00341555
3-4	0.143034	0.00428196
4-5	0.116533	0.0085655
5-6	0.106144	0.0148912
0.3-0.5	0.0435037	0.000642427
0.5-1	0.0816514	0.000538924
1-1.5	0.122728	0.000938581
1.5-2	0.144418	0.00159698
2-2.5	0.150073	0.00262494
2.5-3	0.154209	0.00414346
3-4	0.153395	0.00519341
4-5	0.112669	0.0103873
5-6	0.107744	0.0180179
0.3-0.5	0.0424118	0.000608496
0.5-1	0.0796946	0.000513378
1-1.5	0.11958	0.000897669
1.5-2	0.14398	0.00153066
2-2.5	0.148713	0.00251309
2.5-3	0.140279	0.00396344
3-4	0.13818	0.0049526
4-5	0.114331	0.00984436
5-6	0.105738	0.017078
0.3-0.5	0.0418836	0.000888774
0.5-1	0.0762359	0.000755632
1-1.5	0.116686	0.00132926
1.5-2	0.139426	0.00227266
2-2.5	0.139037	0.00372845
2.5-3	0.145033	0.00586963
3-4	0.13856	0.00729545
4-5	0.111448	0.0144272
5-6	0.113806	0.025179
0.3-0.5	0.0391379	0.00156279
0.5-1	0.0753498	0.0013395
1-1.5	0.110658	0.00237117
1.5-2	0.131847	0.00406228
2-2.5	0.14718	0.00666054
2.5-3	0.126357	0.0104698
3-4	0.128525	0.0129619
4-5	0.117895	0.0254905
5-6	0.184976	0.0442625
0.3-0.5	0.0238564	0.00434075
0.5-1	0.0720298	0.0037456
1-1.5	0.120462	0.0066687
1.5-2	0.144996	0.0114536
2-2.5	0.158235	0.0187484
2.5-3	0.148346	0.0293543
3-4	0.16843	0.0362962
4-5	0.232446	0.0711819
5-6	0.0398386	0.123032
0.3-0.5	0.0253471	0.00713453
0.5-1	0.0879997	0.00619728
1-1.5	0.108687	0.0110989
1.5-2	-0.00562882	0.0190742
2-2.5	0.286571	0.0312148
2.5-3	-0.19359	0.048839
3-4	0.240923	0.0601735
4-5	0.345886	0.117799
5-6	1.17429	0.203194
0.3-0.5	0.0836555	0.0107004
0.5-1	0.0479608	0.00936778
1-1.5	0.0504206	0.0168852
1.5-2	0.154152	0.0290972
2-2.5	0.235156	0.0475973
2.5-3	0.201734	0.0742831
3-4	0.185348	0.0915048
