1	0.0464348	0.020573	0
2	0.0492544	0.00731523	0.000276415
3	0.0482644	0.0220715	0.0020996
4	0.0512354	0.00764158	0.00182992
5	0.0502862	0.00727217	0.00109681
6	0.0480872	0.0339116	0.00139392
8	0.0504138	0.00686411	0.000946782
10	0.0510217	0.0146521	0.00130223
15	0.0514137	0.0070686	0.000813262
20	0.0523104	0.0065349	0.000816786
30	0.0525089	0.00487318	0.000610859
40	0.053203	0.00586212	0.000600914
50	0.0533577	0.00547692	0.000557348
75	0.0537585	0.00420085	0.000433704
100	0.0543706	0.00515959	0.000430966
120	0.0545143	0.00478281	0.000379795
150	0.0550849	0.00455802	0.0003231
200	0.0552714	0.00313305	0.000298897
