9145.98	64119	-1.04787e+06	22793.6	42363.7	
-16866.4	6900.41	5.71187e+06	20595.3	-495058	
-10595.8	15504.6	4.25851e+06	40179.7	-18736.5	
-11222	-36699.1	2.4518e+07	-122801	-395578	
-11277.9	44381.7	-1.24173e+07	84835.2	-246861	
-336.301	449.15	153858	-1707.55	15799.8	
6170.53	16705.6	-1.53707e+06	-21064.8	24378.1	
147760	-45668.6	4.21929e+07	-89091.7	-518565	
27355.7	-19552.4	-7.48661e+06	35732.9	253101	
116396	49077.1	1.14311e+07	-6261.86	657015	
157100	138843	5.53954e+07	62913	-3.17655e+06	
81104.8	-60961.8	1.20416e+07	46471.8	-637988	
-108673	-22243.8	1.17448e+06	190497	-1.18054e+06	
58602	143107	-4.07351e+07	-174757	383260	
207818	-66633.7	1.75704e+07	247009	-155062	
-110388	6006.82	1.87223e+06	89063.2	1.72035e+06	
3169.69	-37043	-1.9942e+07	-184688	145986	
53146.4	-48945.3	-765614	-87958.6	-206798	
-54018.5	-7910.6	9.30613e+06	-32379.3	322436	
33233	17115.8	-1.66567e+07	-6053.96	-88335.7	
117308	127041	-2.44021e+07	-311177	-453545	
-61148.2	26009	-1.09149e+07	54162.4	-712527	
-147334	3423.53	-1.47024e+07	244091	713997	
14783.5	-54214.5	4.1841e+07	-262892	957573	
255722	160197	-9.5948e+06	-301633	-972668	
27596.2	48541.7	1.40512e+07	6383.28	-215933	
-89944.3	-60823.2	-3.61392e+06	8777.99	1.22783e+06	
3854.85	195615	-1.13692e+08	-61273.7	3.33101e+06	
97957	169726	-5.5579e+06	-83406.2	122543	
-5318.42	-2157.58	-304215	14263	-693218	
111117	190665	8.05578e+06	-88317.2	-463054	
-21559.9	316913	-2.98455e+07	4711.45	1.3973e+06	
131510	304531	4.36176e+06	-233761	131006	
7167.44	-42177.7	1.53486e+06	-12262.6	549305	
-152457	291473	-3.33913e+07	512188	2.35184e+06	
-15989.3	-136895	-4.43101e+07	80842.1	1.55899e+06	
81397.1	-92373.5	-1.69167e+07	-102925	-234112	
0	0	0	0	0	
