8	2328	2058
9	2552	2265
8	2243	1981
23	6235	5558
23	6144	5443
30	7910	6951
46	11830	10434
80	20131	17744
97	28258	24913
142	40405	35751
196	54665	48397
312	85460	75499
470	126025	111354
605	158956	140254
880	226206	199700
1089	273642	241579
139	40361	35710
178	50511	44835
267	74717	65928
359	98233	86828
559	149793	132449
764	200346	177084
1058	271909	240067
1451	364171	321980
164	47558	42129
204	58123	51367
285	79689	70396
453	123964	109566
649	173956	153688
888	233114	205861
1200	308670	272211
1586	398853	352006
141	40966	36217
207	58740	52133
307	85738	75783
387	106051	93632
658	176216	155851
186	53966	47804
202	58527	51881
882	231554	204556
292	83123	73574
280	79690	70529
1097	281930	248903
403	112241	99457
422	117953	104192
1549	389427	343617
580	158833	140245
583	159571	140958
849	227395	201059
809	216852	191570
1107	290542	256684
1179	309727	273434
1581	406405	358767
1731	445167	392666
1959	492782	434631
2235	562062	496014
187	54150	48019
291	83039	73319
421	117625	103961
589	161128	142456
848	227642	200889
1200	315111	278282
1642	422281	372640
2192	551798	486309
243	70434	62359
358	101732	90159
515	143812	127140
718	196273	173605
1014	271656	240192
1440	378325	333877
2012	517319	456468
2572	647269	570755
101	29326	25943
169	48225	42539
256	71504	63225
328	89636	79362
439	117494	103978
655	171690	151862
916	235555	207825
1154	290100	255996
138	40031	35493
189	53958	47589
242	67685	59776
358	97975	86635
514	137683	121742
778	204297	180367
987	253686	223915
1379	346611	305985
238	69040	61169
304	86666	76566
477	133228	117770
682	186585	164934
954	255777	226029
1379	361948	319828
1949	500980	442116
2513	632250	557527
112	32523	28762
173	49275	43575
212	59255	52353
339	92665	81973
390	104495	92370
662	173663	153468
822	211226	186474
1155	290786	256251
151	43891	38777
239	68095	60184
311	86566	76758
492	134450	118962
770	206478	182412
1051	275779	243704
1482	380856	336239
1966	494386	436275
145	42111	37218
176	49976	44314
268	74870	66175
422	115357	102081
575	153959	136147
825	216827	191323
1143	293427	259303
1466	368636	325291
318	92251	81703
475	135024	119620
648	181137	159920
877	239687	212081
1338	358882	316929
1819	477859	421763
2438	627168	553064
3289	827844	729898
112	32608	28772
163	46420	41036
225	62849	55537
310	84723	74986
470	125987	111313
700	184032	162328
