571.682	16358.7	3316.54	2545.28	274.053	364.721	
15087.9	13726.6	-9332.64	6712.21	13875.8	-1204.77	
5041.25	-10508.2	-7660.82	4780.25	6453.1	-1501.36	
13482.9	12958.5	4868.84	2977.45	3152.84	2725.8	
37298	56222	25741.8	8600.02	6980.88	3067.09	

-26379.3	-25320.5	-9570.06	-8082.79	-2011.34	-2742.18	
3933	-22528.6	-16028.1	-1112.7	-9226.23	-10435.5	
36891.8	50484.2	25559.2	16090.9	6522.88	-3116.62	
5066.83	-43927.2	-9223.37	-5583.8	-9338.19	-1299.48	
-23026.6	-20417.6	4024.38	-2164.02	-8275.01	-3884.52	

754.371	27516.5	31949.5	8053.48	3155.71	4262.43	
-27950.7	-87092.5	-46739.4	6090.06	-10877.5	-4485	
9011.29	44912.3	2531.35	14937.9	6383.86	-8914.17	
-3894.83	10735.2	2706.8	11166.9	-30.0881	110.256	
-17102.5	-36866.5	-13412	4420.13	7504.89	-990.974	

-8388.11	-1663.6	-2616.28	-668.267	1446.65	860.198	
6429.44	-2861.47	12238.3	1887.37	-8797.71	-220.072	
-48008.2	-60427.3	-54352	-15476.6	4307.34	8281.08	
-13842.5	-31161.6	-8718.1	5991.33	2910.94	5314.26	
-18402.2	-59265.4	2725.16	10265.2	-14836.5	1100.26	

-13988.1	-4054.68	10045.5	7817.97	-1543.38	519.134	
14496	-27009.4	-18959.5	-3450.14	-516.12	-1662.61	
17178.1	9410.91	8345.96	-6879.17	5445.42	3294.82	
10850.6	-6392.26	-13055.1	3999.67	-5048.07	-2964.5	
-4865.31	-31598.8	-10348.1	-8246.65	-2658.61	-4492.63	

6787.9	3409.25	-1069.62	161.926	-684.535	-188.585	
8252.13	19375.6	-907.014	7991.18	3040.42	-712.866	
-32538	-53134.7	-25053.4	-8185.49	-8689.05	-1804.9	
11153.1	14431.9	9850.13	-792.873	2853.92	3488.47	
10788.5	-46066.3	-19865	-2069.84	-2003.49	2706.99	

-5408.21	-4921.75	-238.252	-4835.37	1276.15	-81.1331	
23181.2	22574.1	26637.4	977	3278.56	-567.003	
20445.2	52678.1	16261.1	5889.94	3444.08	2102.8	
-25872.2	-29655.3	-18695.6	-3571.68	-5980.62	-4075.32	
25954.4	13135.7	-4800.13	-15706.6	-4180.71	-7352.26	

11384.3	48774.2	19620.7	12482.6	11491.4	-722.953	
