67741.3	-10647.5	24451.5	-99283.8	-40192.8	7201.26	-25588.9	43354.4	100766	-15396.1	
-87149.2	-79681.6	-11459.4	157231	64723.2	-37631.5	-3378.84	-36539.9	8891.19	16352	
-1260.35	6557.29	138286	64734.2	26145.8	76314.6	-3780.48	-62675.7	-55999.6	32288.5	
-53987	11122	-62850	8015.59	16611.7	-30012	-32889.2	157583	-35406	31162.8	
-36261.5	-29222.4	-53311.4	109439	-11429.1	61964.9	85060.6	-32339	-180410	98229.2	
-16749.6	-30582.6	-4632.15	74575.6	-38878	-67532.2	-4698.54	119567	90365.4	-16805.1	
-28924.1	33554.2	-67336	-110514	-56625.5	-77458.6	-3266.4	-3036.42	9149	-33122.6	
46800.9	9134	-7468.47	-16961.3	-73287.7	37827.6	9145.96	-102914	127756	-21429.2	
-39879.5	38062.4	106246	127216	-47421.4	-133802	-61775.4	409.873	30987.8	66160.7	
12877.1	32526	49346.6	-11567.4	117854	67108.9	15689	-121365	-157528	-42184.1	
-64973.8	37428.9	23776.2	-139426	-100210	14588	29177	-38776.4	77010.1	116857	
-21649.7	26388.3	9166.32	29152.7	-137646	-166328	-89884.7	-175420	-47900.2	-37839.9	
-45665	22355.7	35596.5	185503	86845.6	-3511.65	-43751.8	-1443.3	64737.7	32823.3	
-19301.8	-80765.2	-254518	-4745.25	34468.7	50795.7	19191.5	-23660.2	-139913	-6389.53	
-6170.38	-1274.9	82230.1	9978.77	34359.8	-58969.7	-55867.8	7325.23	40015.4	-10063.1	
72105	83812.4	123785	121426	-17562.3	37642.3	55157.2	32714	194036	87161.5	
134545	118880	291479	128564	89239.3	36844.4	54377.2	10039.5	-64167.8	-76028.2	
-14334.7	63940.5	-39705.3	-286286	-205826	-17914	66956.8	36460.1	126385	60801.9	
-19102.4	40096.5	-149466	-8243.56	-49367.6	-116003	-163240	-37919	-109575	-118107	
-59547.1	-83707.8	-51345.3	188892	-43693.1	-103880	-64393.7	-15697.3	166267	73317.5	
21456.2	25062.4	90181.5	122657	113143	21345.2	-69668.5	-32898.8	-138730	-31570.9	
7291.47	71986.8	37119.7	59577.1	-65005.5	61161.3	73566.1	169225	36581.3	-16823.2	
-76888.7	28542.7	-67903.2	-66692.9	-136484	-28676.6	-91933.5	-143043	-267428	69529	
35872.1	3044.17	81089.2	-57534.3	212533	58716.6	89111.6	69344	70539.2	7982.37	
-21050.4	48674.9	138231	-1345.39	-223298	-76338.5	-107377	-204869	-56189.7	63981	
31716.3	64214.8	3643.1	-179929	-41968.2	-48505.2	-32559.4	13384	68027.6	63328.8	
9885.02	-31797.5	26281.1	48318.9	-18786.5	13310.7	-124815	-75714.4	-119247	-101104	
15609.7	2933.68	-115415	45132.8	-13795.5	-47415.2	-26322.8	83320.2	155394	171.446	
-20037.5	59597.7	5393.47	-117151	-257645	-166878	-37285.2	-37844.3	-104123	86019.5	
1726.24	38298.9	44529.7	-117699	-121555	-1478.34	56198.9	71740.5	76191.2	62836	
16273.9	-18683.8	-63388.4	-4893.93	-33610.1	-29725.6	-61406.2	-53584.8	-97992.3	-23058.1	
45250.5	-7199.37	-95881.3	-290345	-165367	-103772	-27460.5	-96687.4	67864.5	70346.8	
-24878.8	-16253.3	-2402.42	-128745	-100137	-23100.4	59108.7	64407.4	-118027	12331.7	
12280.5	-29463.4	-217015	19078.4	-63916.8	-56192.6	-19843.1	-22169.4	125633	66796	
-52362.5	-74249	-310043	-28951.9	39900.9	-6496.58	87489.5	100400	-835.236	38513.9	
63690.9	-34658.8	-40899.4	-144627	83697	-9796.64	-103346	-125175	-66701.9	25635.9	
-7192.3	-82952.6	60206.6	-10971.2	-71458.3	18572.2	79002.1	-111968	-149922	-97558.8	
46898.5	142503	270795	47986.7	-39909.6	51746.9	41707.3	-91991.3	-37074.6	15961.2	
-17542.6	-75118.2	-131977	21015.3	-19931.6	-48655	30700.1	-16084.2	-79589.8	19943.2	
13334.6	28676.9	-69278.8	-54901.9	-53299.5	126157	-1794.96	-136510	-56463.6	-50145.7	
31426.4	-63349.5	114573	82537.6	-74063.9	22457.5	-20775.1	-9756.13	-71571.7	-59639.8	
13407.1	79904.7	50591.2	-15812	70867.5	-5386.09	33701.2	-11276.7	21320.8	20671.7	
35841.6	1344.94	38832.8	58482.6	124780	53433.5	20498.7	-1824.51	-49900.9	39285.6	
-63695.5	-42036.5	30292.9	-77554.1	-195838	-55683.2	-55081.7	-48224.9	13198	67904.5	
-83215	114994	234773	162634	-73842.3	-38042.2	-40155.1	-100070	-35424.9	70598.1	
-4317.21	2727.54	-22211.2	-11446.9	41648.6	-21784.5	-86806.1	-13859.6	-117043	-108480	
-5182.27	98586	252242	202998	63763.1	57348.2	-29204.8	-159006	-220637	-87259.7	
-64410	-7997.55	103939	5011.2	59595.5	-298.177	-11939.3	16192.3	-3100	61808.8	
-31077.6	-24847.9	22909.5	-126908	-56560.9	42756.8	-14602.7	-5653.3	43880.7	31932	
-82948.8	-105559	-177816	514.609	236142	-19447	106781	180588	-138263	-46123.4	
-63902.9	-55280.1	140131	106454	175938	51498.7	-12854.9	-74145.9	-33201.6	33825	
-33936.3	-75589.2	-197312	2955.43	35169.3	188960	187933	9634.14	-52545.8	64836.4	
-25151.1	-80823.2	44784.8	100611	-2449.28	9211.59	9711.74	46898.2	72694.2	-20455.9	
-38427.1	34743	28342.6	94353.4	33652.2	131554	-20851.4	-114400	131703	79432.4	
-119890	8477.24	142957	56596.2	-34375.7	4138.48	50970.5	62621.2	-15983.6	2370.71	
104314	-69026.2	-193128	-47432.4	129837	139261	128902	14534.1	-136304	-152392	
64977.3	57237.4	-25154.5	99452.5	61433.3	-3109.07	-25226.8	37828.1	-164721	-37922.7	
75287.6	-47676.9	-91049.4	-134225	-143768	-93333.5	-92976	43321.1	71879.4	-51948.6	
-12379.7	-34338.7	120389	-89202.5	-94077.4	-54775.9	-115.594	12060	-13534.4	-11813.9	
-49667	-32857	84505.7	-86815.5	-112916	-141977	-119952	19094.5	436618	57461.2	
-44612.1	-38099.6	139592	43969.5	-125586	-150511	-34213.7	17563.4	-90025.1	-135960	
93851.9	-8054.07	-63364	-16838.2	-1774.16	-25415.3	46984.7	-9014.27	11201.6	-11312.3	
-37645.8	65274.2	-18739.9	50701.2	22326.3	-42527.4	-29523.1	-80386.6	-123764	50447.3	
38182.5	-51704.4	-276646	-15557.2	3816.42	-879.073	-14284	21993.6	185625	-54496	
-107598	-98765.7	-38852.8	-81833.7	17000.8	73718.5	193765	172355	-140331	-87412.8	
