30617.1	191811	-73673.9	86903.9	39012.1	
145466	40132.5	-8.27997e+06	-189146	13105.8	
47320	-285653	40421.8	183997	-136346	
164487	-33226.3	-8153.83	-166680	-99772.5	
-125394	116452	-13149.8	33947.9	76395.4	
165498	21139.6	-52747.4	73837.5	-363338	
120487	72224.6	113525	-32020.6	-65558.6	
-383.682	-363392	-33494.9	90784.9	112341	
-49208.4	-22482.9	33447.6	-65748.1	-81955.2	
170274	197513	-151500	-18143	-68735	
-229038	-138588	-7.52114e+06	-127767	13977.2	
145505	30970.6	-205620	100228	233127	
65266.3	2353.87	175505	-91198.4	16412.1	
107835	61154.8	-144099	12764.2	72099.9	
-123071	27162.9	23352.9	154135	48636.5	
-41228.7	29797.3	35654.6	92415.9	-2566.46	
-86326	-84904.9	-13289.7	-38678.7	-105123	
-114073	29037.6	-53488.6	138613	-88498.6	
-129441	-1665.54	5.50571e+06	105110	28920.6	
27087.8	-27457.9	-427234	51815.5	85601.3	
98438.7	44651.1	-55780.8	185825	1.47689e+06	
53148.4	125466	-35967.2	-35158.5	-168828	
-37195.5	25653.9	-179536	-97318	40297	
-111543	134441	146710	42248.2	98013.6	
-170950	152085	-45082.9	-8693.03	218644	
-38799.6	-38892.8	37349.5	131672	-34396.7	
143970	-1070.18	-242726	147314	99127.1	
157643	-148590	107211	-66150.1	-18213.6	
-21420	12257.6	17604.1	-10032	-2.86039e+06	
84454.1	101315	-42755	28325.3	-164426	
27087.8	-27457.9	-427234	51815.5	85601.3	
82945.7	-40408.3	787486	-80395.9	-399831	
81085.8	-133208	-1300.97	-143020	-6402.08	
-114700	-107633	-39378.5	-116699	1.3903e+06	
-79890.8	13412.6	2975.46	-946706	32607.2	
-79580.7	-82904.5	-8852.22	9685.02	-340793	
674.306	-119837	-201878	83531.4	200542	
57586.9	-24415.1	103592	-27540.4	-44973.9	
152198	-77464	75056.5	-84251	-67027.3	
80272.3	-101184	-142978	-97176.5	57376.8	
-59435.1	-130241	46728.3	2.29649e+06	102543	
24321.6	108769	-52434.5	-132227	-18089	
-5395.79	-41427.6	-46947.7	12912	-1.4784e+06	
61560.7	40415.8	-24862.9	33519.7	-1.49689e+06	
-31260	-31482.9	-197346	101779	229120	
-208606	-327899	-66026.4	19018.9	-60281	
-96818.2	138054	45245.9	16882.5	144128	
55669.5	178052	-214810	-512322	-899.823	
-111218	-132428	-142376	24683.3	-93110.3	
-46836.6	-62944.1	119736	-70770.3	204290	
-35778.2	-220109	-85404	-178698	-45395.8	
-95700.5	-266011	47806.5	170855	-44333.3	
-63014.5	73390	-116654	26361.2	-60846.2	
268241	47653.2	177868	153790	-221774	
-841988	-84297.9	-140070	21482.4	119164	
-160584	-166980	-53898.5	271516	-33968.2	
18851.5	119051	5.93764e+06	-213804	-70585.1	
-223500	154408	813672	109626	-418556	
100945	20789.9	21182.9	-2510.29	136241	
251589	-27316.5	-193199	-183468	-23602.9	
10324.9	193998	23860.9	-182224	-157495	
-156504	115979	-13590	-147525	-102343	
-56240.7	-169746	-154169	35978.7	-465185	
-73343.1	43546.4	48537.9	522376	88272.4	
-172417	-80922.5	19774	-30958.8	118585	
1221.59	60970.9	870.043	-23002	368559	
190563	-163479	69679	104625	-272534	
-24538.3	18281.3	-3014.06	-26456.2	-244928	
-72112.7	-136542	-74288.8	59209.1	-74864.6	
137171	79988.2	252338	122967	-99931.6	
-83284.3	-62969.3	77962.3	157366	2.18184e+06	
24233.8	-7135.86	-90880.4	62986.8	321141	
217176	33734.8	815762	-64857.9	-1.9759e+06	
