-7665.95	-11435.6	-25840.4	20251.5	-49139.7	
1461.95	94714.7	85130.3	-46113.1	-361114	
49493.3	-177832	-4466.45	56895	51522.8	
-65619	-78795.3	21711.7	33427.8	-39058.7	
-26781	175703	70971.2	-106657	-78086.5	
-37200.5	55956.8	-22262.7	67808.8	28144	
57045.8	75383	-193119	84880.5	72912.5	
22198	135344	-25023.6	51542.7	-55238.8	
-43790.9	140539	16272.1	120654	42050	
-50271.8	28492.6	-221332	108634	-90706.2	
99742.4	141681	-63735.7	-24925.4	-14957.2	
80836.5	-288447	80948	-97921.9	44670	
70961.7	81226.7	-54028.3	81586.2	-135505	
-6896.41	201157	83680.6	-50714.1	-153468	
-16478.1	-149583	37591.7	46230.5	-30732.2	
238.774	39598	-19427.1	129243	-72696.6	
53754.7	-66267.1	31853.3	-117469	125378	
21617.7	-17411.2	4262.43	55382.2	-11345.1	
-25798.3	-28020.3	15579.3	-42533	-41096.5	
12617.9	54668.1	28757.8	-7294.56	-166715	
18502	9999.95	-57849.3	-59956.7	64338.5	
17318.9	110847	-33564.6	-98551.2	72362.9	
-5239.14	25691.5	127464	-80723.4	-122628	
13712	-52016.1	97188.5	-53992.4	139155	
29993.9	139061	35015.3	18303	-88008.5	
