ymin   ymax   ptlow   pthi   xs   xserr_low    xserr_high   uncor_error   npcor   npcorerr   lumierr   unf_err_low   unf_err_hi    jec_src_low_0  jec_src_high_0  jec_src_low_1  jec_src_high_1  jec_src_low_2  jec_src_high_2  jec_src_low_3  jec_src_high_3  jec_src_low_4  jec_src_high_4  jec_src_low_5  jec_src_high_5  jec_src_low_6  jec_src_high_6  jec_src_low_7  jec_src_high_7  jec_src_low_8  jec_src_high_8  jec_src_low_9  jec_src_high_9  jec_src_low_10  jec_src_high_10  jec_src_low_11  jec_src_high_11  jec_src_low_12  jec_src_high_12  jec_src_low_13  jec_src_high_13  jec_src_low_14  jec_src_high_14  jec_src_low_15  jec_src_high_15
0.0 0.5 362 395 4.484e+00 0.004 0.004 0.010 1.031 0.003 0.022 0.005 0.006 0.031 0.032 0.025 0.026 0.018 0.019 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.003 0.003 0.011 0.011 -0.004 -0.004 0.011 0.011
0.0 0.5 395 430 2.627e+00 0.005 0.005 0.010 1.029 0.003 0.022 0.005 0.005 0.031 0.032 0.026 0.027 0.020 0.020 0.011 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.003 0.003 0.010 0.011 -0.003 -0.003 0.010 0.010
0.0 0.5 430 468 1.523e+00 0.006 0.006 0.010 1.027 0.003 0.022 0.005 0.005 0.032 0.033 0.027 0.027 0.021 0.022 0.011 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.010 0.010 -0.003 -0.003 0.010 0.010
0.0 0.5 468 507 8.762e-01 0.008 0.008 0.010 1.026 0.003 0.022 0.005 0.005 0.033 0.034 0.028 0.028 0.023 0.024 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.009 0.009 -0.003 -0.003 0.010 0.010
0.0 0.5 507 548 5.161e-01 0.003 0.003 0.010 1.024 0.002 0.022 0.005 0.005 0.034 0.035 0.029 0.030 0.025 0.025 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.009 0.009 -0.003 -0.003 0.009 0.009
0.0 0.5 548 592 3.085e-01 0.004 0.004 0.010 1.023 0.002 0.022 0.005 0.005 0.034 0.036 0.030 0.031 0.026 0.027 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.008 0.009 -0.003 -0.003 0.009 0.009
0.0 0.5 592 638 1.812e-01 0.005 0.005 0.010 1.022 0.002 0.022 0.005 0.005 0.035 0.037 0.032 0.033 0.028 0.029 0.013 0.013 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.008 0.008 -0.003 -0.003 0.009 0.009
0.0 0.5 638 686 1.073e-01 0.007 0.007 0.010 1.021 0.002 0.022 0.005 0.005 0.037 0.038 0.034 0.035 0.030 0.030 0.013 0.013 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.008 0.008 -0.002 -0.002 0.008 0.008
0.0 0.5 686 737 6.400e-02 0.008 0.008 0.010 1.020 0.002 0.022 0.005 0.005 0.038 0.039 0.036 0.037 0.031 0.032 0.013 0.014 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.007 0.007 -0.002 -0.002 0.008 0.008
0.0 0.5 737 790 3.760e-02 0.011 0.011 0.010 1.020 0.002 0.022 0.005 0.006 0.039 0.040 0.037 0.039 0.033 0.034 0.014 0.014 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.002 0.002 0.007 0.007 -0.002 -0.002 0.008 0.008
0.0 0.5 790 846 2.213e-02 0.013 0.013 0.010 1.019 0.002 0.022 0.005 0.006 0.040 0.042 0.040 0.041 0.035 0.036 0.014 0.014 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.002 0.002 0.007 0.007 -0.002 -0.002 0.008 0.008
0.0 0.5 846 905 1.313e-02 0.017 0.017 0.010 1.018 0.002 0.022 0.006 0.006 0.042 0.043 0.042 0.044 0.037 0.039 0.014 0.014 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.001 0.001 0.007 0.007 -0.002 -0.002 0.008 0.008
0.0 0.5 905 967 7.503e-03 0.022 0.022 0.010 1.018 0.002 0.022 0.006 0.006 0.043 0.045 0.045 0.047 0.039 0.041 0.015 0.015 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.001 0.001 0.006 0.006 -0.002 -0.002 0.008 0.008
0.0 0.5 967 1032 4.231e-03 0.028 0.028 0.010 1.018 0.002 0.022 0.006 0.006 0.045 0.047 0.049 0.051 0.042 0.044 0.015 0.016 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.002 0.002 0.006 0.006 -0.002 -0.002 0.008 0.008
0.0 0.5 1032 1101 2.313e-03 0.037 0.037 0.010 1.017 0.002 0.022 0.006 0.007 0.047 0.049 0.053 0.055 0.045 0.046 0.016 0.016 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.002 0.002 0.006 0.006 -0.002 -0.002 0.007 0.007
0.0 0.5 1101 1172 1.476e-03 0.045 0.045 0.010 1.017 0.002 0.022 0.007 0.008 0.049 0.052 0.057 0.060 0.047 0.050 0.017 0.017 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.006 0.006 -0.002 -0.002 0.007 0.007
0.0 0.5 1172 1248 8.047e-04 0.060 0.060 0.010 1.016 0.002 0.022 0.008 0.008 0.052 0.054 0.061 0.065 0.051 0.053 0.018 0.018 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.006 0.006 -0.002 -0.002 0.007 0.007
