ymin   ymax   ptlow   pthi   xs   xserr_low    xserr_high   uncor_error   npcor   npcorerr   lumierr   unf_err_low   unf_err_hi    jec_src_low_0  jec_src_high_0  jec_src_low_1  jec_src_high_1  jec_src_low_2  jec_src_high_2  jec_src_low_3  jec_src_high_3  jec_src_low_4  jec_src_high_4  jec_src_low_5  jec_src_high_5  jec_src_low_6  jec_src_high_6  jec_src_low_7  jec_src_high_7  jec_src_low_8  jec_src_high_8  jec_src_low_9  jec_src_high_9  jec_src_low_10  jec_src_high_10  jec_src_low_11  jec_src_high_11  jec_src_low_12  jec_src_high_12  jec_src_low_13  jec_src_high_13  jec_src_low_14  jec_src_high_14  jec_src_low_15  jec_src_high_15
0.0 0.5 56 64 9.245e+04 0.009 0.009 0.010 0.849 0.016 0.022 0.021 0.023 0.024 0.025 0.013 0.013 -0.014 -0.014 0.033 0.034 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.002 0.002 0.007 0.007 0.028 0.028 -0.010 -0.010 0.016 0.016
0.0 0.5 64 74 4.628e+04 0.012 0.012 0.010 0.870 0.015 0.022 0.018 0.020 0.024 0.025 0.010 0.010 -0.011 -0.011 0.031 0.032 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.006 0.006 0.024 0.025 -0.009 -0.009 0.015 0.015
0.0 0.5 74 84 2.305e+04 0.016 0.016 0.010 0.890 0.014 0.022 0.016 0.017 0.025 0.025 0.009 0.009 -0.008 -0.008 0.029 0.030 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.005 0.005 0.022 0.022 -0.008 -0.007 0.014 0.014
0.0 0.5 84 97 1.146e+04 0.021 0.021 0.010 0.908 0.013 0.022 0.014 0.015 0.025 0.025 0.009 0.009 -0.005 -0.005 0.027 0.028 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.005 0.005 0.019 0.019 -0.007 -0.007 0.013 0.013
0.0 0.5 97 114 5.262e+03 0.007 0.007 0.010 0.924 0.012 0.022 0.012 0.013 0.025 0.026 0.011 0.011 -0.003 -0.003 0.025 0.026 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.004 0.004 0.017 0.017 -0.006 -0.006 0.011 0.012
0.0 0.5 114 133 2.319e+03 0.009 0.009 0.010 0.938 0.011 0.022 0.010 0.011 0.026 0.026 0.013 0.013 -0.000 0.000 0.023 0.024 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.003 0.003 0.014 0.015 -0.005 -0.005 0.010 0.010
0.0 0.5 133 153 1.076e+03 0.012 0.012 0.010 0.948 0.010 0.022 0.009 0.010 0.026 0.027 0.016 0.016 0.003 0.003 0.022 0.022 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.003 0.003 0.013 0.013 -0.004 -0.004 0.010 0.010
0.0 0.5 153 174 5.114e+02 0.017 0.017 0.010 0.956 0.009 0.022 0.008 0.009 0.026 0.027 0.017 0.018 0.005 0.005 0.020 0.020 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.003 0.003 0.011 0.011 -0.004 -0.004 0.009 0.009
0.0 0.5 174 196 2.523e+02 0.006 0.006 0.010 0.962 0.008 0.022 0.007 0.008 0.027 0.028 0.018 0.019 0.007 0.007 0.019 0.019 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 0.003 0.003 0.010 0.010 -0.003 -0.003 0.008 0.008
0.0 0.5 196 220 1.316e+02 0.008 0.008 0.010 0.966 0.007 0.022 0.007 0.007 0.027 0.028 0.019 0.020 0.009 0.009 0.017 0.018 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.002 0.002 0.009 0.009 -0.003 -0.003 0.008 0.008
0.0 0.5 220 245 6.966e+01 0.010 0.010 0.010 0.970 0.006 0.022 0.006 0.007 0.028 0.028 0.020 0.021 0.011 0.011 0.016 0.017 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.002 0.002 0.008 0.008 -0.003 -0.003 0.007 0.007
0.0 0.5 245 272 3.774e+01 0.013 0.013 0.010 0.973 0.005 0.022 0.006 0.006 0.028 0.029 0.022 0.022 0.012 0.012 0.015 0.015 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 0.002 0.002 0.008 0.008 -0.003 -0.003 0.007 0.007
