123.5	114.0	133.0	2346.0	+30.0	-30.0	+63.0	-56.0
143.0	133.0	153.0	1033.0	+17.0	-17.0	+26.0	-24.0
163.5	153.0	174.0	475.7	+8.6	-8.6	+10.9	-10.0
185.0	174.0	196.0	230.3	+2.3	-2.3	+4.8	-4.6
208.0	196.0	220.0	116.9	+1.4	-1.4	+2.3	-2.2
232.5	220.0	245.0	61.07	+0.79	-0.79	+1.16	-1.1
258.5	245.0	272.0	31.91	+0.48	-0.48	+0.57	-0.54
286.0	272.0	300.0	16.56	+0.3	-0.3	+0.28	-0.26
315.0	300.0	330.0	9.079	+0.082	-0.082	+0.145	-0.136
346.0	330.0	362.0	4.99	+0.045	-0.045	+0.075	-0.075
378.5	362.0	395.0	2.748	+0.019	-0.019	+0.038	-0.038
412.5	395.0	430.0	1.524	+0.012	-0.012	+0.02	-0.021
449.0	430.0	468.0	0.8352	+0.0075	-0.0075	+0.0109	-0.0109
487.5	468.0	507.0	0.4588	+0.0046	-0.0046	+0.0055	-0.006
527.5	507.0	548.0	0.2547	+0.0013	-0.0013	+0.0031	-0.0031
570.0	548.0	592.0	0.1396	+8.0E-4	-8.0E-4	+0.0015	-0.0017
615.0	592.0	638.0	0.07495	+6.0E-4	-6.0E-4	+8.2E-4	-8.2E-4
662.0	638.0	686.0	0.04001	+4.0E-4	-4.0E-4	+4.0E-4	-4.4E-4
711.5	686.0	737.0	0.0211	+2.7E-4	-2.7E-4	+2.1E-4	-2.1E-4
763.5	737.0	790.0	0.01064	+1.9E-4	-1.9E-4	+1.0E-4	-1.1E-4
818.0	790.0	846.0	0.005301	+1.33E-4	-1.33E-4	+4.8E-5	-5.3E-5
875.5	846.0	905.0	0.002644	+9.3E-5	-9.3E-5	+2.4E-5	-2.4E-5
936.0	905.0	967.0	0.001278	+6.3E-5	-6.3E-5	+1.0E-5	-1.2E-5
999.5	967.0	1032.0	5.419E-4	+3.96E-5	-3.96E-5	+4.3E-6	-4.9E-6
1066.5	1032.0	1101.0	2.633E-4	+2.69E-5	-2.69E-5	+2.1E-6	-2.4E-6
1136.5	1101.0	1172.0	1.416E-4	+2.25E-5	-2.25E-5	+1.0E-6	-1.1E-6
1428.0	1172.0	1684.0	8.804E-6	+2.122E-6	-2.122E-6	+6.2E-8	-6.2E-8
