123.5	114.0	133.0	2810.0	+34.0	-34.0	+67.0	-67.0
143.0	133.0	153.0	1234.0	+19.0	-19.0	+27.0	-27.0
163.5	153.0	174.0	576.6	+9.8	-9.8	+11.5	-11.5
185.0	174.0	196.0	286.0	+2.6	-2.6	+5.4	-5.4
208.0	196.0	220.0	146.0	+1.6	-1.6	+2.6	-2.6
232.5	220.0	245.0	76.07	+0.91	-0.91	+1.29	-1.29
258.5	245.0	272.0	40.55	+0.57	-0.57	+0.65	-0.65
286.0	272.0	300.0	22.22	+0.36	-0.36	+0.33	-0.33
315.0	300.0	330.0	12.42	+0.1	-0.1	+0.17	-0.17
346.0	330.0	362.0	6.966	+0.063	-0.063	+0.098	-0.098
378.5	362.0	395.0	3.942	+0.024	-0.024	+0.051	-0.051
412.5	395.0	430.0	2.269	+0.016	-0.016	+0.029	-0.027
449.0	430.0	468.0	1.303	+0.01	-0.01	+0.016	-0.016
487.5	468.0	507.0	0.7474	+0.0067	-0.0067	+0.0082	-0.0082
527.5	507.0	548.0	0.4242	+0.0017	-0.0017	+0.0047	-0.0047
570.0	548.0	592.0	0.2449	+0.0012	-0.0012	+0.0027	-0.0027
615.0	592.0	638.0	0.1428	+9.0E-4	-9.0E-4	+0.0014	-0.0014
662.0	638.0	686.0	0.08285	+5.8E-4	-5.8E-4	+8.3E-4	-8.3E-4
711.5	686.0	737.0	0.04771	+4.8E-4	-4.8E-4	+4.3E-4	-4.3E-4
763.5	737.0	790.0	0.02762	+3.3E-4	-3.3E-4	+2.5E-4	-2.5E-4
818.0	790.0	846.0	0.0155	+2.5E-4	-2.5E-4	+1.4E-4	-1.4E-4
875.5	846.0	905.0	0.008333	+1.75E-4	-1.75E-4	+6.7E-5	-6.7E-5
936.0	905.0	967.0	0.004376	+1.23E-4	-1.23E-4	+3.5E-5	-3.5E-5
999.5	967.0	1032.0	0.002396	+8.9E-5	-8.9E-5	+1.9E-5	-1.9E-5
1066.5	1032.0	1101.0	0.001426	+6.7E-5	-6.7E-5	+1.1E-5	-1.1E-5
1136.5	1101.0	1172.0	7.655E-4	+4.82E-5	-4.82E-5	+5.4E-6	-5.4E-6
1210.0	1172.0	1248.0	3.218E-4	+3.02E-5	-3.02E-5	+2.3E-6	-2.3E-6
1287.5	1248.0	1327.0	1.292E-4	+1.81E-5	-1.81E-5	+9.0E-7	-9.0E-7
1368.5	1327.0	1410.0	7.129E-5	+1.476E-5	-1.476E-5	+5.0E-7	-5.0E-7
1597.0	1410.0	1784.0	1.531E-5	+3.18E-6	-3.18E-6	+9.0E-8	-9.0E-8
