-53987	-13494.8	13747.3	-62850	-5029.53	25298.7	16611.7	-35576.4	-32559.6	-32889.2	95623	142328	-35406	7489.58	44598.6	
-74260.3	-83611.3	-118512	-105068	-82469.8	-65625.4	5648.52	18251.2	30872.8	-13796	-94186.7	-42005.1	223424	195084	141536	
72105	87561.2	78101.5	123785	144621	52449.6	-17562.3	32326.5	47522	55157.2	30804.2	59403.6	194036	154480	12643.8	
35492.6	14678.6	-21231.7	16575.4	-2432.05	47334	99239.9	-59148.4	-73282.1	41873.6	76788.8	72978	101524	33457.9	-27492.2	
16273.9	-7311.43	-41480.1	-63388.4	-32097.1	13626.2	-33610.1	-25616.7	-41228	-61406.2	-63071	-56329	-97992.3	-33281.2	-25446.6	
-51314.7	-1419.05	14260.8	97372.9	115930	81874.6	-78742.2	-87141.2	54430	132751	93247	110643	95644.4	9095.98	59801.1	
31426.4	-42869.6	-61384	114573	135793	-32047.9	-74063.9	15299.7	9988.65	-20775.1	-21018.6	-6421.72	-71571.7	-46573.9	-71686.9	
64977.3	80799.1	19562.4	-25154.5	64350.6	113055	61433.3	14685.9	-19717	-25226.8	15878.7	28515	-164721	-68941.6	-31612.5	
-54116.3	-36244.5	-12737.1	-4019.51	-107893	-126281	-4816.1	21479.5	20097.7	-7526.28	15353.9	112735	113065	13919.9	46490.8	
-40896.7	29219.2	130199	205055	158030	181291	93108	72836.6	98666	134946	174345	169477	130523	135434	84454.5	
-31116.6	-34568.8	8399.36	-251619	-339711	-302266	-90559.1	-35124.8	-20196.5	-2618.46	21045.6	-14343.1	-73538.9	-38973.4	-30582.2	
38193.3	53226.5	-11146.5	-108392	-58616.6	57316.6	28391.5	3952.32	28874.7	13994.8	18965.5	-12316.6	-58530.5	26149.6	23786.6	
-12845	-33937.3	-24881.3	-81271.6	23794.3	158663	175502	33348.2	-97041.6	-140151	-61147.7	142566	312871	10352.3	-45077.9	
-100162	-77414.3	6829.86	119148	12922	-24970.4	5900.32	-8632.46	-90503.9	-69433.5	74036.7	170497	152371	67433.7	89780.7	
71262.5	57440	-48430.3	-127137	-12870.1	-7822.8	-30260.7	47866.5	72651.1	8196.3	-14216.9	-9080.08	58328.7	70562.2	8313.61	
33995.5	28351.3	-2002.72	-65539.1	-3027.16	129261	13627.4	-40008.2	3390.07	23621.5	35951.1	41532.4	128680	117418	26896.2	
-65611.8	-40807.5	-37624.1	-88641.7	-77252.6	81495.9	47668	-21824.2	-39514.8	11180.3	29667.5	-24243.4	22269.5	15382.1	31744.2	
67040.3	-35760.2	43411.3	119564	-45603.7	-283875	-113158	31006.4	14292.8	-13400.3	-63817.6	-15385.1	26573.8	14081.3	-88410.3	
55600.6	4150.19	-108595	-322415	-139506	-147077	-106371	-39495	-74906.1	-97557.3	-161709	-254953	-175484	-87631.7	-99227.9	
18664.2	6283.72	54763.5	-16570.7	-197228	-329932	-109538	-13939.5	9763.71	26759.1	80115.7	159468	175907	54062.9	-14570.9	
16185.4	-27974.1	-122139	-95241	-28890.3	-168792	-127838	-83014.2	-40355.8	16117.2	31928.8	54333.6	80394.3	56513.5	10802.4	
-68218.2	32075.2	27538.3	36692.4	239681	232329	124612	102539	77205.6	59407	13603.8	23418.9	105045	105320	106405	
16392.8	-8266.58	37070	91722.5	-123676	-255116	-318099	-195425	-66746.8	59351.9	145644	193259	139536	-80194.1	-74915.3	
-64646.7	-121094	-192971	-178128	-71582.6	-53337.6	32044.4	71555.4	128414	123243	79955.8	236518	364517	147958	80135.7	
16876	36340.6	-54922.9	-228483	-159671	-3812.64	183835	219135	96783.1	-79290.6	-171785	-78621	21226.7	-16816.8	2141.07	
50913.4	28214.1	-24900.8	-39823.9	36110.3	145590	-21227.1	-10324.7	-9655.92	-43287.4	-59985.1	-137758	-143022	-84399.6	-50634.8	
32342.6	57048.6	-45388.4	-23032.3	170111	315092	194780	42280.3	-27519	-62506.8	28048.4	169573	108222	-79277.9	-27164.2	
57640.1	61399.2	-12692.8	-145038	-107616	-160253	-189040	-59984.7	-28792.4	-68193.4	-39474.9	90716.3	197842	27067.5	-34789.4	
10750.4	-73366.6	-64044	-128368	-181225	-111440	151358	62512.8	53765.6	-19948.5	-60404.9	51771.8	122615	-66245.6	-161169	
15882.3	70062.3	87025.4	22493.3	42329	117470	71416.7	49471.1	25144.9	-18061.3	-17202.3	-18858.9	-29577.2	-9193.33	-103.879	
-9822.8	32911.3	22205.8	73866.3	105355	74830.2	-43244.2	-32765.2	-16000.5	3212.2	-2316.2	-33511.2	-60887.9	-51393.7	19692.6	
13180.5	-41486.2	-54540	6822.41	29762.6	15833.2	-125164	-76886.5	-8109.03	22347.3	29330.1	45066.8	121944	1432.06	-57004.7	
-29996.7	-13392.7	47195.7	81157.5	27226.4	12683	-21706.6	-29775.7	-59818.3	-42722.4	53711.6	95421.2	6145.88	-42273	-7073.81	
-19501.6	17546.9	89691	-42826.7	-125237	-150443	260132	188579	34636	4556.15	40920.9	-9252.65	14121.8	-14057.2	9489.19	
35263.6	40596.7	91467.8	137473	-1064.44	-274276	-331532	-184690	-56699.2	4463.06	57151.5	114742	96562.4	-14624	-52591.4	
-18279.3	-44813.3	-37811.3	75105.8	14747.5	-29935.5	-2640.95	56681.4	52951.2	-7203.48	13090.6	-17795.8	-137598	-56267.3	-13970.1	
-13440	-65835.4	-128318	-182272	-17010.9	-53844.7	-91079.9	-145042	-187838	-83517	-24015.4	-50049.2	617.47	2101.1	-22855.2	
