107593	50336	26362.6	31995	30859.3	-27396.3	-59071.6	-29587	17582.2	8223.69	38430.7	106967	43123.4	124844	151228	
-12355.3	-6966.29	81043	228965	39537.6	-132805	-19513.7	35939.4	9920	-13563.2	21177.5	-2247.19	44184.7	62273	11718.3	
17146.5	-28887.8	-2607.8	-98386	-145790	-136047	-98626.4	-23529.1	64342.1	33233.7	-56032.8	-140086	-131128	39647.3	41606	
-19624.4	-54653.5	-84761.1	-135255	-31770.7	70996.5	58059.9	-67101.6	-46419.1	40070.7	90749.7	84270.9	-6486	-30174.9	-14880	
66430.7	55433.7	-11261.7	-181282	-123428	-14908.3	85691.9	91586.7	62404.4	-38109.5	-73052.3	-118348	-154272	6804.83	81757.1	
62422.5	11615.1	41847.4	65456	-19099.1	-44368.4	-80561.9	7754.86	26311.8	-48961	-58089.5	68238.7	154155	45183.5	60492.9	
-35895.4	-6227.52	3829.14	66726.5	35316.2	-75789.2	-171393	-91025.5	-70088.6	-30467.7	47291.2	44696.4	21060.2	-24545.5	-83381	
25310.5	24850.7	-47061.3	-137528	17118.9	116246	5042.11	29947.9	72407.9	89218.3	65698.5	67971.1	-10616	34645.7	9378.8	
-17800.1	-31236.6	-39700.9	-52775.2	8090.49	80429.9	130400	67631.5	21060.1	3965.18	-10432.5	-55558.3	-39102	-8896.97	-1349.23	
-78629.7	-79807.8	-149498	-48475.7	114081	200287	49466.9	-115355	-119609	-18355.6	43352.8	132521	56748.7	-68052.1	-53538.2	
14281.4	50135.5	-20844.9	-196600	-222203	-279037	-246844	-100726	-97108.7	-123748	-102928	-25252.3	-43304.8	-17669.4	-12261	
-13693.8	10289.3	60395.8	105772	-581.27	122050	226290	121544	86239.5	66446.2	8756.14	-120183	-289811	-142028	-49064.3	
20764.5	6256.9	-7218.71	-61759.2	-19381.8	-124077	21826.3	135786	183595	134064	53569.3	-43986.9	-204684	-69141.4	32493.1	
144384	90666.3	-30371.1	-74596.1	-28296	-209041	-147448	12077.8	49902.8	26949	15947.8	76070.6	316053	192789	128094	
21733.4	58984.6	29105.8	-39999	-4142.89	-11245.4	-95558.6	-4198.15	94591	97895.4	16572.9	-61385.7	-82988.6	-47833.6	-33450.5	
-7126.23	43496.6	27208.8	-55200.8	75365.3	123091	82229.2	55885.1	-6286.74	-54636.3	9833.65	140935	159761	10536.5	-40496.1	
66464.7	101399	58959.9	-202897	-43407.4	-35047.5	-28429.9	-25392.6	-102767	-51965.1	-25201.8	75611.7	67070.3	-24704.6	34306.9	
-19408.8	-37065.2	-74059.4	-168309	-18290.3	-30722.7	-112507	-22099.3	145942	158334	-1350.69	-131130	-91944.6	-105013	-51257.4	
-63002.4	-9173.98	-32908.6	22057.9	140281	194273	-6674.64	-69750.7	-52921.6	-6928.17	34347.4	62600	36221.7	-41533.7	-140069	
-37980	17134.9	17104.9	-22040.8	44121.1	-63481.3	-89242.9	-20508.2	-57492.5	-105941	-100087	-45732.1	-79615.4	-24232.4	-12836.5	
