448	134481	121275
433	129638	117010
185	55526	50082
278	83262	75093
314	93992	85006
397	119124	107462
272	81815	73772
349	104669	94185
213	63824	57621
228	68185	61715
300	90082	81213
367	110244	99492
426	127182	114950
759	227276	204936
332	99427	89719
239	71582	64607
316	94800	85342
506	151651	136710
569	170391	153582
319	95434	86152
545	163645	147732
346	104062	93978
533	160078	144408
400	119863	107900
429	128759	116219
6	1806	1592
748	224421	202599
820	246084	221789
150	45040	40669
301	90234	81230
452	135499	122324
488	146451	132148
465	138942	125566
226	67671	61194
219	65874	59412
7	2110	1904
498	148987	134656
359	107421	96945
645	193853	174892
439	131744	118631
319	95754	86420
401	120407	108388
488	146244	132012
620	186304	168061
407	121646	109665
269	80425	72561
404	120834	109173
314	94204	84922
203	60896	54942
488	146451	132148
7	2110	1904
3	878	809
488	145876	131726
447	134158	121001
439	131744	118631
588	176531	159380
280	84046	75709
220	66131	59677
404	121207	109330
447	134158	121001
454	135718	122475
433	129907	116989
190	56891	51390
323	96543	87270
335	100849	90875
179	53393	48349
299	89696	81055
491	147229	132817
354	106188	95898
394	118796	106906
182	54571	49031
325	97775	88161
326	97781	88302
114	34005	30894
392	117530	106127
443	132728	119719
624	187039	168745
662	198867	179238
266	79878	71994
348	103979	93921
767	229798	207397
549	164352	148296
519	155528	140422
388	115947	104672
299	89991	81030
486	145508	131174
759	228153	205648
638	191017	172297
358	107250	96742
338	101257	91486
703	210137	189751
299	89552	80739
575	172285	155527
519	155528	140422
370	111558	100608
758	227614	205128
3	864	789
513	154837	139333
354	106188	95898
497	148849	134198
303	91045	82016
415	124289	112340
301	90234	81230
282	84709	76265
226	67671	61194
170	51077	46129
401	120407	108388
638	191017	172297
303	90930	81953
493	148082	133211
315	94077	84810
248	74431	67133
136	40781	36749
250	74716	67522
720	216211	194561
100	29816	26961
0	0	0
465	139300	125649
326	97781	88302
279	84169	75722
255	76406	68899
633	189924	171167
474	141960	128193
360	108072	97368
491	147255	132690
223	66820	60327
174	52330	47061
335	100328	90345
318	95241	85984
303	90775	82040
329	98629	88705
346	103455	93501
640	192420	173693
545	163855	147858
466	139559	126023
556	167222	150756
688	206253	186330
659	197151	178073
301	90158	81331
395	118242	106914
556	166315	150168
203	60896	54942
144	43270	38923
645	193917	174639
301	89927	81405
394	118796	106906
314	94204	84922
522	156467	141297
472	142044	127968
551	165712	149279
426	128078	115600
565	169461	152979
185	55534	50063
474	141960	128193
565	169461	152979
282	84709	76265
255	76440	69044
454	136240	122952
693	207186	187230
562	168647	152335
390	116951	105218
637	190609	172072
186	55781	50322
418	125363	113319
283	84598	76309
530	159048	143200
14	4243	3827
323	96543	87270
395	118242	106914
190	56891	51390
23	6942	6275
526	157695	142365
486	145529	131389
250	74716	67522
345	103134	93061
463	139183	125527
523	157478	141966
507	151604	136838
330	98984	89190
761	227834	205542
223	66631	60236
302	90356	81438
574	172430	155545
648	194619	175495
20	6074	5481
2	609	549
272	81815	73772
365	109314	98820
281	84573	76166
223	66820	60327
222	66613	60125
432	129596	116764
367	110395	99621
267	79901	71952
593	177996	160710
390	116951	105218
437	131441	118603
330	99182	89362
440	131731	118992
267	80076	72144
518	155489	140082
358	106926	96424
404	120937	109145
450	134787	121633
674	201525	182095
450	134787	121633
439	131394	118683
694	208263	188016
299	89583	81025
359	107421	96945
418	125289	113096
290	86915	78485
352	105401	95076
256	76752	69398
384	115505	103986
357	106912	96464
439	131394	118683
321	96196	86881
474	142278	128193
487	146068	131859
395	118455	106647
472	141116	127570
487	146158	131967
20	5962	5413
358	106926	96424
179	53393	48349
299	89696	81055
470	140397	126866
8	2351	2123
430	129012	116460
4	1220	1118
329	98783	88970
185	55534	50063
545	163645	147732
406	121450	109573
213	63931	57664
148	44459	40192
384	115505	103986
348	103979	93921
10	3032	2697
321	96196	86881
312	93579	84588
442	132212	119470
327	98879	89052
501	150491	135570
250	75078	67740
182	54571	49031
552	165800	149460
259	77439	69953
571	171795	154868
700	209770	189059
609	182491	164992
355	106590	96140
406	121450	109573
431	128980	116287
462	138690	124978
378	113409	102276
418	125316	113098
6	1784	1619
292	87494	79120
492	147592	133140
237	70984	64244
114	34005	30894
460	138283	124857
370	110931	100278
375	112659	101571
433	129638	117010
393	117732	105997
363	108349	97952
321	95969	86659
588	175737	158818
456	136203	122943
423	126890	114262
448	134481	121275
419	125533	113307
300	89878	81329
186	55781	50322
278	83262	75093
273	81802	73850
420	125957	113583
170	51077	46129
301	89927	81405
501	150491	135570
6	1816	1615
3	892	789
552	165800	149460
303	90930	81953
393	117732	105997
443	132728	119719
262	78176	70757
399	119669	107945
192	57154	51583
23	6942	6275
393	117824	106502
321	95969	86659
493	148082	133211
456	136203	122943
315	94077	84810
393	118116	106468
267	80076	72144
5	1487	1318
371	111327	100470
3	926	830
352	105310	94959
820	246084	221789
20	6074	5481
1	295	267
397	119124	107462
4	1205	1084
300	89685	80901
466	139559	126023
576	172971	155973
154	46292	41740
439	131749	118775
904	271952	244994
136	40781	36749
256	76752	69398
307	92008	82926
248	74431	67133
438	131237	118337
429	128759	116219
393	118116	106468
367	109544	98899
617	184997	166922
511	153176	138242
484	145551	130963
476	143494	128978
349	104669	94185
332	99427	89719
508	152836	137591
476	143494	128978
307	92623	83368
195	58674	52898
239	71582	64607
400	119863	107900
340	101836	91899
369	110568	99750
251	75313	67968
2	634	568
20	5962	5413
184	55115	49693
346	104062	93978
418	125289	113096
759	228153	205648
307	92008	82926
396	118806	107221
7	2116	1909
254	76196	68761
319	95434	86152
388	115947	104672
292	87494	79120
265	79476	71735
367	109544	98899
314	93992	85006
720	216211	194561
100	29816	26961
265	79476	71735
392	117530	106127
4	1198	1064
299	89552	80739
748	224421	202599
624	187039	168745
414	124115	111966
322	96375	87013
414	124115	111966
