27	6652	5864
30	7218	6358
37	8646	7667
52	11804	10504
78	17396	15347
107	23328	20512
136	28846	25398
62	15239	13455
92	22197	19506
102	24014	21099
167	38187	33704
237	53118	46646
290	63322	55664
433	91927	80927
18	4417	3900
21	5058	4457
44	10333	9108
55	12502	11089
74	16601	14585
106	23192	20322
142	30047	26552
49	12070	10656
75	17961	15881
86	20192	17790
156	35758	31508
202	45148	39769
260	56742	49911
355	75664	66356
98	24020	21268
139	33536	29469
221	51701	45707
274	62841	55297
358	80031	70482
481	105005	92304
633	134757	118274
58	14253	12585
81	19493	17162
113	26565	23379
151	34592	30471
178	39809	35021
224	48876	42970
326	69242	60917
47	11575	10187
60	14300	12724
95	22291	19635
150	34292	30252
194	43383	38215
277	60208	53139
355	75429	66374
34	8347	7384
73	17579	15475
92	21604	19027
141	32242	28462
202	45120	39745
274	59559	52555
329	69935	61491
654	160707	141839
884	212319	187249
680	167143	147425
1196	280929	247333
629	154878	136417
37	9133	8013
526	129030	114018
679	166936	147254
579	142277	125537
625	153275	135557
607	149240	131640
956	235039	207426
542	133198	117557
1661	380224	335321
852	204576	180480
638	157014	138298
670	164459	145189
920	221131	194923
87	20832	18439
870	213754	188635
875	209989	185413
1335	313551	276153
95	22414	19665
996	244530	215980
137	31282	27673
1191	279579	246315
1775	406972	358262
202	45117	39776
2460	549908	484356
1594	365468	321823
247	53925	47403
2079	465412	409422
3145	686778	603553
348	73971	65088
2807	612333	538600
3764	800758	703568
3418	726606	638899
739	181445	160301
1083	266169	234842
1073	263864	232676
1022	251101	221570
2211	494325	435336
1468	352426	311012
1211	284028	250578
1149	282401	249188
912	224318	197751
1289	316427	279442
1257	301658	266318
1810	424962	374487
1242	305350	269364
1449	356293	314280
2463	564419	497277
3300	737930	649683
4356	949863	836052
5579	1.18722e+06	1.04283e+06
1191	293025	258259
24	5934	5210
1562	384220	338771
656	161112	142259
654	160782	141763
2321	570533	503267
2092	514375	453701
1386	340571	300581
973	239341	211102
1568	385412	340133
900	216270	190735
2291	562964	496940
22	5326	4667
890	213908	188495
1353	325273	286605
889	213571	188400
2877	628123	552120
1625	372315	328066
2026	475384	419064
2049	492104	433980
2770	665515	586931
2670	611817	539021
2203	492830	433735
3582	761196	669563
2870	673422	593632
3909	917743	808924
3669	820376	722425
2832	618053	543528
3785	867858	764136
5120	1.17261e+06	1.03382e+06
748	179683	158452
680	167061	147492
3450	733425	644878
4738	1.03324e+06	909368
833	200426	176508
686	168489	148738
655	161126	142007
654	160782	141763
1713	420609	371476
1222	287017	252750
1282	315288	278008
1825	428459	377550
6944	1.55255e+06	1.36742e+06
32	7491	6615
1183	277707	244735
5000	1.11832e+06	984400
851	204844	180357
1322	317327	280120
996	239374	211014
1483	356315	314113
885	212320	187491
1627	390831	344684
855	205143	181111
1155	270962	238948
1471	337108	296990
2041	456168	401786
2588	564337	496669
3302	701982	617225
1024	246188	217006
662	162769	143559
890	213908	188495
2288	549089	484732
1148	275839	243204
1690	406336	358029
1004	240946	212717
768	184699	162805
1400	335977	296608
1593	382843	337483
55	12576	11104
2563	587654	517442
1626	372668	328217
1523	348897	307392
927	222637	196423
1711	410931	362563
5781	1.22989e+06	1.08055e+06
9039	1.97166e+06	1.73455e+06
1356	318188	280559
2097	503800	444340
1552	364358	321032
1066	250366	220460
2198	515570	454730
1130	265123	233744
2459	577411	508758
3201	768673	678098
3257	782398	690087
2038	478363	421673
1768	415260	365801
1280	300567	264891
908	218340	192454
1222	287017	252750
1470	352821	311441
3322	780151	687423
2151	516528	455765
1896	455718	401609
2433	570115	503245
1675	402458	354858
6538	1.42532e+06	1.25485e+06
2199	491703	432961
81	18107	15954
3296	737206	648830
2114	472957	416243
590	145029	127925
4318	989195	871816
1626	372668	328217
47	11575	10187
24	5934	5210
656	161112	142259
1303	305760	269539
10958	2.33001e+06	2.04853e+06
1783	408930	359894
1297	304560	268427
777	190823	168549
7988	1.69862e+06	1.49302e+06
514	126414	111430
1162	285887	252075
3198	733162	645635
657	157980	139195
976	234590	206789
1570	377726	332720
933	219165	193063
2143	503024	443473
1352	317620	279759
1321	302429	266566
2933	672350	592216
1905	436706	384646
3791	848094	746418
1809	404845	356171
2572	574580	506323
5088	1.1095e+06	976279
2329	508155	446917
3301	719665	633395
6231	1.32518e+06	1.16476e+06
2744	583775	512950
4209	895510	786869
5897	1.31841e+06	1.16108e+06
1251	307441	271230
845	203042	179052
863	212290	187205
1177	276434	243554
2199	491703	432961
2484	555272	489084
1686	386137	340350
699	171924	151591
1369	336474	296857
1450	356458	314435
4532	1.01389e+06	892229
1191	279868	246323
1356	333537	294027
7765	1.69367e+06	1.49011e+06
585	143829	126874
1331	312357	275278
60	14300	12724
1186	278356	245441
1606	386017	340239
1783	408334	359939
889	213571	188400
978	240280	212078
789	193905	171068
22	5326	4667
523	128545	113440
1492	366730	323603
590	145029	127925
680	167061	147492
2241	550848	485984
1586	389451	343995
839	206278	181968
1251	307441	271230
1218	285742	251989
1050	257920	227677
1204	296257	261176
2234	548975	484447
1222	300306	265040
993	244222	215341
1497	367455	324643
2932	640011	562569
4248	927323	815189
108	23631	20706
2658	579181	509926
2047	502941	443883
9453	2.00881e+06	1.76679e+06
2932	640011	562569
