             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            607616 productio bl_8ce65     glow PD       0:00      1 (AssocGrpCpuLimit)
            607617 productio bl_43c43     glow PD       0:00      1 (AssocGrpCpuLimit)
            607628 productio bl_56df7     glow PD       0:00      1 (AssocGrpCpuLimit)
            607629 productio bl_0e264     glow PD       0:00      1 (AssocGrpCpuLimit)
            607649 productio bl_15738     glow PD       0:00      1 (AssocGrpCpuLimit)
            607650 productio bl_ad7a4     glow PD       0:00      1 (AssocGrpCpuLimit)
            607752 productio bl_e8b3b     glow PD       0:00      1 (AssocGrpCpuLimit)
            607784 productio bl_3a821     glow PD       0:00      1 (AssocGrpCpuLimit)
            607796 productio bl_2c9ff     glow PD       0:00      1 (AssocGrpCpuLimit)
            607810 productio bl_4788e     glow PD       0:00      1 (AssocGrpCpuLimit)
            607812 productio bl_1b00e     glow PD       0:00      1 (AssocGrpCpuLimit)
            607813 productio bl_e011d     glow PD       0:00      1 (AssocGrpCpuLimit)
            607816 productio bl_62692     glow PD       0:00      1 (AssocGrpCpuLimit)
            607817 productio bl_2bd66     glow PD       0:00      1 (AssocGrpCpuLimit)
            608172 productio bl_ada0e     glow PD       0:00      1 (AssocGrpCpuLimit)
            609503 productio bl_2206c     glow PD       0:00      1 (AssocGrpCpuLimit)
            609815 productio bl_2205f     glow PD       0:00      1 (AssocGrpCpuLimit)
            609944 productio bl_cfc3c     glow PD       0:00      1 (AssocGrpCpuLimit)
            609946 productio bl_16236     glow PD       0:00      1 (AssocGrpCpuLimit)
            609987 productio bl_ac6a7     glow PD       0:00      1 (AssocGrpCpuLimit)
            609990 productio bl_a639d     glow PD       0:00      1 (AssocGrpCpuLimit)
            610014 productio bl_fd5e0     glow PD       0:00      1 (AssocGrpCpuLimit)
            610018 productio bl_c0f59     glow PD       0:00      1 (AssocGrpCpuLimit)
            610034 productio bl_421f1     glow PD       0:00      1 (AssocGrpCpuLimit)
            610035 productio bl_86aab     glow PD       0:00      1 (AssocGrpCpuLimit)
            610131 productio bl_996c6     glow PD       0:00      1 (AssocGrpCpuLimit)
            610134 productio bl_b2ce6     glow PD       0:00      1 (AssocGrpCpuLimit)
            611173 productio bl_68b97     glow PD       0:00      1 (AssocGrpCpuLimit)
            611497 productio bl_dfa96     glow PD       0:00      1 (AssocGrpCpuLimit)
            612124 productio bl_c899a     glow PD       0:00      1 (AssocGrpCpuLimit)
            612502 productio bl_c6ea6     glow PD       0:00      1 (AssocGrpCpuLimit)
            612554 productio bl_f410d     glow PD       0:00      1 (AssocGrpCpuLimit)
            612608 productio bl_3f40a     glow PD       0:00      1 (AssocGrpCpuLimit)
            612646 productio bl_b9a13     glow PD       0:00      1 (AssocGrpCpuLimit)
            612688 productio bl_922ac     glow PD       0:00      1 (AssocGrpCpuLimit)
            612693 productio bl_5499f     glow PD       0:00      1 (AssocGrpCpuLimit)
            612719 productio bl_792dc     glow PD       0:00      1 (AssocGrpCpuLimit)
            612740 productio bl_9a16a     glow PD       0:00      1 (AssocGrpCpuLimit)
            612742 productio bl_232b7     glow PD       0:00      1 (AssocGrpCpuLimit)
            612753 productio bl_f7db8     glow PD       0:00      1 (AssocGrpCpuLimit)
            612761 productio bl_cb5ce     glow PD       0:00      1 (AssocGrpCpuLimit)
            615448 productio bl_73fca     glow PD       0:00      1 (AssocGrpCpuLimit)
            615455 productio bl_00a36     glow PD       0:00      1 (AssocGrpCpuLimit)
            615456 productio bl_a6388     glow PD       0:00      1 (AssocGrpCpuLimit)
            615539 productio bl_9c2f2     glow PD       0:00      1 (AssocGrpCpuLimit)
            615645 productio bl_47a4e     glow PD       0:00      1 (AssocGrpCpuLimit)
            616121 productio bl_b6603     glow PD       0:00      1 (AssocGrpCpuLimit)
            616390 productio bl_7bbc1     glow PD       0:00      1 (AssocGrpCpuLimit)
            617318 productio bl_36bda     glow PD       0:00      1 (AssocGrpCpuLimit)
            619331 productio bl_04cbf     glow PD       0:00      1 (AssocGrpCpuLimit)
            619527 productio bl_b9a99     glow PD       0:00      1 (AssocGrpCpuLimit)
            620010 productio bl_fa7b2     glow PD       0:00      1 (AssocGrpCpuLimit)
            620249 productio bl_74c58     glow PD       0:00      1 (AssocGrpCpuLimit)
            620286 productio bl_d7513     glow PD       0:00      1 (AssocGrpCpuLimit)
            620307 productio bl_54df0     glow PD       0:00      1 (AssocGrpCpuLimit)
            620333 productio bl_9cb39     glow PD       0:00      1 (AssocGrpCpuLimit)
            620365 productio bl_a57b1     glow PD       0:00      1 (AssocGrpCpuLimit)
            620393 productio bl_9471b     glow PD       0:00      1 (AssocGrpCpuLimit)
            621880 productio bl_58b34     glow PD       0:00      1 (AssocGrpCpuLimit)
            621953 productio bl_8d96b     glow PD       0:00      1 (AssocGrpCpuLimit)
            624064 productio bl_6809f     glow PD       0:00      1 (AssocGrpCpuLimit)
            624099 productio bl_01c99     glow PD       0:00      1 (AssocGrpCpuLimit)
            624109 productio bl_e3890     glow PD       0:00      1 (AssocGrpCpuLimit)
            624126 productio bl_43572     glow PD       0:00      1 (AssocGrpCpuLimit)
            624200 productio bl_b7711     glow PD       0:00      1 (AssocGrpCpuLimit)
            624228 productio bl_fb808     glow PD       0:00      1 (AssocGrpCpuLimit)
            624257 productio bl_de528     glow PD       0:00      1 (AssocGrpCpuLimit)
            624279 productio bl_d5a71     glow PD       0:00      1 (AssocGrpCpuLimit)
            624301 productio bl_0a47e     glow PD       0:00      1 (AssocGrpCpuLimit)
            624316 productio bl_30285     glow PD       0:00      1 (AssocGrpCpuLimit)
            624365 productio bl_5a4d4     glow PD       0:00      1 (AssocGrpCpuLimit)
            624399 productio bl_27e9c     glow PD       0:00      1 (AssocGrpCpuLimit)
            624439 productio bl_d896a     glow PD       0:00      1 (AssocGrpCpuLimit)
            624463 productio bl_3f475     glow PD       0:00      1 (AssocGrpCpuLimit)
            624466 productio bl_b0edc     glow PD       0:00      1 (AssocGrpCpuLimit)
            624480 productio bl_bb61c     glow PD       0:00      1 (AssocGrpCpuLimit)
            624506 productio bl_3b707     glow PD       0:00      1 (AssocGrpCpuLimit)
            624519 productio bl_33670     glow PD       0:00      1 (AssocGrpCpuLimit)
            624529 productio bl_a0043     glow PD       0:00      1 (AssocGrpCpuLimit)
            624551 productio bl_bc4d7     glow PD       0:00      1 (AssocGrpCpuLimit)
            624628 productio bl_90b0b     glow PD       0:00      1 (AssocGrpCpuLimit)
            624629 productio bl_4f79d     glow PD       0:00      1 (AssocGrpCpuLimit)
            624630 productio bl_f6fae     glow PD       0:00      1 (AssocGrpCpuLimit)
            624631 productio bl_cd3ee     glow PD       0:00      1 (AssocGrpCpuLimit)
            624632 productio bl_cb7e5     glow PD       0:00      1 (AssocGrpCpuLimit)
            624633 productio bl_08a04     glow PD       0:00      1 (AssocGrpCpuLimit)
            624634 productio bl_a747a     glow PD       0:00      1 (AssocGrpCpuLimit)
            624635 productio bl_7bbd6     glow PD       0:00      1 (AssocGrpCpuLimit)
            624636 productio bl_3b7bc     glow PD       0:00      1 (AssocGrpCpuLimit)
            624637 productio bl_1706f     glow PD       0:00      1 (AssocGrpCpuLimit)
            624650 productio bl_2e851     glow PD       0:00      1 (AssocGrpCpuLimit)
            624651 productio bl_cf0da     glow PD       0:00      1 (AssocGrpCpuLimit)
            624652 productio bl_e13f1     glow PD       0:00      1 (AssocGrpCpuLimit)
            624653 productio bl_51b31     glow PD       0:00      1 (AssocGrpCpuLimit)
            624654 productio bl_41121     glow PD       0:00      1 (AssocGrpCpuLimit)
            624656 productio bl_e0c28     glow PD       0:00      1 (AssocGrpCpuLimit)
            624657 productio bl_ca3bf     glow PD       0:00      1 (AssocGrpCpuLimit)
            624658 productio bl_dee5c     glow PD       0:00      1 (AssocGrpCpuLimit)
            624659 productio bl_873ba     glow PD       0:00      1 (AssocGrpCpuLimit)
            624660 productio bl_02adf     glow PD       0:00      1 (AssocGrpCpuLimit)
            624674 productio bl_b28eb     glow PD       0:00      1 (AssocGrpCpuLimit)
            624675 productio bl_84ae0     glow PD       0:00      1 (AssocGrpCpuLimit)
            624676 productio bl_55845     glow PD       0:00      1 (AssocGrpCpuLimit)
            624677 productio bl_d05b6     glow PD       0:00      1 (AssocGrpCpuLimit)
            624870 productio bl_d648f     glow PD       0:00      1 (AssocGrpCpuLimit)
            624897 productio bl_5733b     glow PD       0:00      1 (AssocGrpCpuLimit)
            624925 productio bl_66e9a     glow PD       0:00      1 (AssocGrpCpuLimit)
            624939 productio bl_61be8     glow PD       0:00      1 (AssocGrpCpuLimit)
            624945 productio bl_46865     glow PD       0:00      1 (AssocGrpCpuLimit)
            624968 productio bl_85296     glow PD       0:00      1 (AssocGrpCpuLimit)
            625162 productio bl_95f6b     glow PD       0:00      1 (AssocGrpCpuLimit)
            625562 productio bl_1839b     glow PD       0:00      1 (AssocGrpCpuLimit)
            626829 productio bl_f92d1     glow PD       0:00      1 (AssocGrpCpuLimit)
            626894 productio bl_bceab     glow PD       0:00      1 (AssocGrpCpuLimit)
            626910 productio bl_8131e     glow PD       0:00      1 (AssocGrpCpuLimit)
            627034 productio bl_f0951     glow PD       0:00      1 (AssocGrpCpuLimit)
            627087 productio bl_33653     glow PD       0:00      1 (AssocGrpCpuLimit)
            627178 productio bl_d9f74     glow PD       0:00      1 (AssocGrpCpuLimit)
            627342 productio bl_6b32f     glow PD       0:00      1 (AssocGrpCpuLimit)
            627776 productio bl_c5abb     glow PD       0:00      1 (AssocGrpCpuLimit)
            627923 productio bl_23e85     glow PD       0:00      1 (AssocGrpCpuLimit)
            627933 productio bl_f4ec8     glow PD       0:00      1 (AssocGrpCpuLimit)
            627952 productio bl_abd31     glow PD       0:00      1 (AssocGrpCpuLimit)
            627956 productio bl_2efe7     glow PD       0:00      1 (AssocGrpCpuLimit)
            627960 productio bl_8e244     glow PD       0:00      1 (AssocGrpCpuLimit)
            627967 productio bl_a6240     glow PD       0:00      1 (AssocGrpCpuLimit)
            628010 productio bl_9abc9     glow PD       0:00      1 (AssocGrpCpuLimit)
            628012 productio bl_95521     glow PD       0:00      1 (AssocGrpCpuLimit)
            628037 productio bl_72a8a     glow PD       0:00      1 (AssocGrpCpuLimit)
            628039 productio bl_cd2b7     glow PD       0:00      1 (AssocGrpCpuLimit)
            628850 productio bl_4f80b     glow PD       0:00      1 (AssocGrpCpuLimit)
            628851 productio bl_514b9     glow PD       0:00      1 (AssocGrpCpuLimit)
            628852 productio bl_b0bbe     glow PD       0:00      1 (AssocGrpCpuLimit)
            628853 productio bl_6f60f     glow PD       0:00      1 (AssocGrpCpuLimit)
            628854 productio bl_37f1e     glow PD       0:00      1 (AssocGrpCpuLimit)
            628855 productio bl_95c96     glow PD       0:00      1 (AssocGrpCpuLimit)
            628856 productio bl_2a99d     glow PD       0:00      1 (AssocGrpCpuLimit)
            628857 productio bl_fff19     glow PD       0:00      1 (AssocGrpCpuLimit)
            628858 productio bl_4034d     glow PD       0:00      1 (AssocGrpCpuLimit)
            628859 productio bl_aac46     glow PD       0:00      1 (AssocGrpCpuLimit)
            628881 productio bl_b9cd9     glow PD       0:00      1 (AssocGrpCpuLimit)
            628883 productio bl_5c975     glow PD       0:00      1 (AssocGrpCpuLimit)
            628884 productio bl_1084d     glow PD       0:00      1 (AssocGrpCpuLimit)
            628885 productio bl_fddf9     glow PD       0:00      1 (AssocGrpCpuLimit)
            628886 productio bl_22db4     glow PD       0:00      1 (AssocGrpCpuLimit)
            628887 productio bl_9e809     glow PD       0:00      1 (AssocGrpCpuLimit)
            628889 productio bl_9583f     glow PD       0:00      1 (AssocGrpCpuLimit)
            628890 productio bl_ee7d5     glow PD       0:00      1 (AssocGrpCpuLimit)
            628893 productio bl_0f9ce     glow PD       0:00      1 (AssocGrpCpuLimit)
            628894 productio bl_83121     glow PD       0:00      1 (AssocGrpCpuLimit)
            628895 productio bl_061c4     glow PD       0:00      1 (AssocGrpCpuLimit)
            628897 productio bl_ccb00     glow PD       0:00      1 (AssocGrpCpuLimit)
            628898 productio bl_bced0     glow PD       0:00      1 (AssocGrpCpuLimit)
            628899 productio bl_02d48     glow PD       0:00      1 (AssocGrpCpuLimit)
            628901 productio bl_1874c     glow PD       0:00      1 (AssocGrpCpuLimit)
            628906 productio bl_14d26     glow PD       0:00      1 (AssocGrpCpuLimit)
            628910 productio bl_fb3a6     glow PD       0:00      1 (AssocGrpCpuLimit)
            628911 productio bl_166e5     glow PD       0:00      1 (AssocGrpCpuLimit)
            628912 productio bl_c11bf     glow PD       0:00      1 (AssocGrpCpuLimit)
            628913 productio bl_508c8     glow PD       0:00      1 (AssocGrpCpuLimit)
            628914 productio bl_f53dc     glow PD       0:00      1 (AssocGrpCpuLimit)
            628935 productio bl_a7aed     glow PD       0:00      1 (AssocGrpCpuLimit)
            628936 productio bl_9aca7     glow PD       0:00      1 (AssocGrpCpuLimit)
            628937 productio bl_dae47     glow PD       0:00      1 (AssocGrpCpuLimit)
            628938 productio bl_dface     glow PD       0:00      1 (AssocGrpCpuLimit)
            628939 productio bl_8210c     glow PD       0:00      1 (AssocGrpCpuLimit)
            628940 productio bl_9d724     glow PD       0:00      1 (AssocGrpCpuLimit)
            628941 productio bl_99450     glow PD       0:00      1 (AssocGrpCpuLimit)
            628942 productio bl_d9687     glow PD       0:00      1 (AssocGrpCpuLimit)
            628943 productio bl_bcfe2     glow PD       0:00      1 (AssocGrpCpuLimit)
            628944 productio bl_de431     glow PD       0:00      1 (AssocGrpCpuLimit)
            628952 productio bl_39380     glow PD       0:00      1 (AssocGrpCpuLimit)
            628953 productio bl_0290d     glow PD       0:00      1 (AssocGrpCpuLimit)
            628954 productio bl_bcd0b     glow PD       0:00      1 (AssocGrpCpuLimit)
            628955 productio bl_acce1     glow PD       0:00      1 (AssocGrpCpuLimit)
            628956 productio bl_50a3a     glow PD       0:00      1 (AssocGrpCpuLimit)
            628957 productio bl_c9fb5     glow PD       0:00      1 (AssocGrpCpuLimit)
            628958 productio bl_ebe57     glow PD       0:00      1 (AssocGrpCpuLimit)
